rank,scats_site,total_volume,months_present,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band
2534,6138,90132367,147,2014-01,2026-04,613145.35,756469,2020-12,756469,0.016722,441589537423,81.92441,Bottom 50%
2535,992,90082734,147,2014-01,2026-04,612807.71,723741,2023-10,723741,0.016712,441679620157,81.941122,Bottom 50%
2536,4795,90066046,147,2014-01,2026-04,612694.19,768349,2025-03,768349,0.016709,441769686203,81.957832,Bottom 50%
2537,250,90063536,147,2014-01,2026-04,612677.12,974897,2021-01,974897,0.016709,441859749739,81.97454,Bottom 50%
2538,649,89993229,142,2014-01,2026-04,633755.13,899037,2024-01,899037,0.016696,441949742968,81.991236,Bottom 50%
2539,3791,89991075,147,2014-01,2026-04,612184.18,736673,2014-03,736673,0.016695,442039734043,82.007931,Bottom 50%
2540,2982,89954191,147,2014-01,2026-04,611933.27,756278,2014-03,756278,0.016688,442129688234,82.02462,Bottom 50%
2541,5071,89946327,147,2014-01,2026-04,611879.78,825671,2025-12,825671,0.016687,442219634561,82.041307,Bottom 50%
2542,6447,89943945,144,2014-01,2026-04,624610.73,745513,2016-07,745513,0.016687,442309578506,82.057993,Bottom 50%
2543,2892,89831837,147,2014-01,2026-04,611100.93,863134,2015-05,863134,0.016666,442399410343,82.074659,Bottom 50%
2544,4091,89824961,147,2014-01,2026-04,611054.16,933305,2025-06,933305,0.016664,442489235304,82.091324,Bottom 50%
2545,340,89808950,147,2014-01,2026-04,610945.24,729765,2017-03,729765,0.016662,442579044254,82.107985,Bottom 50%
2546,5255,89785275,147,2014-01,2026-04,610784.18,777852,2018-08,777852,0.016657,442668829529,82.124642,Bottom 50%
2547,3995,89783564,147,2014-01,2026-04,610772.54,702816,2018-05,702816,0.016657,442758613093,82.141299,Bottom 50%
2548,4223,89699402,147,2014-01,2026-04,610200.01,929830,2016-12,929830,0.016641,442848312495,82.15794,Bottom 50%
2549,2698,89675445,147,2014-01,2026-04,610037.04,719019,2021-03,719019,0.016637,442937987940,82.174577,Bottom 50%
2550,3300,89523907,147,2014-01,2026-04,609006.17,738138,2018-03,738138,0.016609,443027511847,82.191186,Bottom 50%
2551,3181,89483945,147,2014-01,2026-04,608734.32,714982,2018-05,714982,0.016601,443116995792,82.207787,Bottom 50%
2552,5197,89391787,147,2014-01,2026-04,608107.39,823917,2026-03,823917,0.016584,443206387579,82.224371,Bottom 50%
2553,4196,89320236,147,2014-01,2026-04,607620.65,720624,2017-10,720624,0.016571,443295707815,82.240942,Bottom 50%
2554,2292,89305535,59,2021-06,2026-04,1513653.14,1769035,2022-03,1769035,0.016568,443385013350,82.25751,Bottom 50%
2555,3185,89281267,106,2017-06,2026-04,842276.1,1062216,2025-03,1062216,0.016564,443474294617,82.274073,Bottom 50%
2556,3808,89169143,147,2014-01,2026-04,606592.81,768997,2018-03,768997,0.016543,443563463760,82.290616,Bottom 50%
2557,101,89142646,147,2014-01,2026-04,606412.56,857445,2021-11,857445,0.016538,443652606406,82.307154,Bottom 50%
2558,4433,89106701,144,2014-01,2026-04,618796.53,1035587,2019-10,1035587,0.016531,443741713107,82.323685,Bottom 50%
2559,6287,89096231,147,2014-01,2026-04,606096.81,756309,2023-11,756309,0.016529,443830809338,82.340215,Bottom 50%
2560,4866,89076336,147,2014-01,2026-04,605961.47,694250,2017-03,694250,0.016526,443919885674,82.35674,Bottom 50%
