month_label,month_start,next_month_start,iso_dow,day_name,day_total_volume,days_loaded,avg_daily_volume,month_elapsed_seconds,completed_at_epoch,row_type
2015-08,2015-08-01,2015-09-01,4,Thursday,487678877,4,121919719.25,691.873,1778316352.047,day_of_week_month_day_total
2015-08,2015-08-01,2015-09-01,5,Friday,503068082,4,125767020.5,691.873,1778316352.047,day_of_week_month_day_total
2015-08,2015-08-01,2015-09-01,6,Saturday,533428104,5,106685620.8,691.873,1778316352.047,day_of_week_month_day_total
2015-08,2015-08-01,2015-09-01,7,Sunday,453262988,5,90652597.6,691.873,1778316352.047,day_of_week_month_day_total
2015-09,2015-09-01,2015-10-01,1,Monday,452299706,4,113074926.5,732.262,1778317160.307,day_of_week_month_day_total
2015-09,2015-09-01,2015-10-01,2,Tuesday,587699440,5,117539888.0,732.262,1778317160.307,day_of_week_month_day_total
2015-09,2015-09-01,2015-10-01,3,Wednesday,599503721,5,119900744.2,732.262,1778317160.307,day_of_week_month_day_total
2015-09,2015-09-01,2015-10-01,4,Thursday,489559380,4,122389845.0,732.262,1778317160.307,day_of_week_month_day_total
2015-09,2015-09-01,2015-10-01,5,Friday,502204615,4,125551153.75,732.262,1778317160.307,day_of_week_month_day_total
2015-09,2015-09-01,2015-10-01,6,Saturday,428303614,4,107075903.5,732.262,1778317160.307,day_of_week_month_day_total
2015-09,2015-09-01,2015-10-01,7,Sunday,368639457,4,92159864.25,732.262,1778317160.307,day_of_week_month_day_total
2015-10,2015-10-01,2015-11-01,1,Monday,469498168,4,117374542.0,680.1,1778317912.967,day_of_week_month_day_total
2015-10,2015-10-01,2015-11-01,2,Tuesday,486174551,4,121543637.75,680.1,1778317912.967,day_of_week_month_day_total
2015-10,2015-10-01,2015-11-01,3,Wednesday,495800415,4,123950103.75,680.1,1778317912.967,day_of_week_month_day_total
2015-10,2015-10-01,2015-11-01,4,Thursday,634524913,5,126904982.6,680.1,1778317912.967,day_of_week_month_day_total
2015-10,2015-10-01,2015-11-01,5,Friday,617519718,5,123503943.6,680.1,1778317912.967,day_of_week_month_day_total
2015-10,2015-10-01,2015-11-01,6,Saturday,527324382,5,105464876.4,680.1,1778317912.967,day_of_week_month_day_total
2015-10,2015-10-01,2015-11-01,7,Sunday,369105774,4,92276443.5,680.1,1778317912.967,day_of_week_month_day_total
2015-11,2015-11-01,2015-12-01,1,Monday,534396888,5,106879377.6,674.24,1778318659.371,day_of_week_month_day_total
2015-11,2015-11-01,2015-12-01,2,Tuesday,453590889,4,113397722.25,674.24,1778318659.371,day_of_week_month_day_total
2015-11,2015-11-01,2015-12-01,3,Wednesday,500520124,4,125130031.0,674.24,1778318659.371,day_of_week_month_day_total
2015-11,2015-11-01,2015-12-01,4,Thursday,508889244,4,127222311.0,674.24,1778318659.371,day_of_week_month_day_total
2015-11,2015-11-01,2015-12-01,5,Friday,525032905,4,131258226.25,674.24,1778318659.371,day_of_week_month_day_total
2015-11,2015-11-01,2015-12-01,6,Saturday,448014621,4,112003655.25,674.24,1778318659.371,day_of_week_month_day_total
2015-11,2015-11-01,2015-12-01,7,Sunday,469101779,5,93820355.8,674.24,1778318659.371,day_of_week_month_day_total
2015-12,2015-12-01,2016-01-01,1,Monday,439469694,4,109867423.5,717.542,1778319449.031,day_of_week_month_day_total
2015-12,2015-12-01,2016-01-01,2,Tuesday,599705351,5,119941070.2,717.542,1778319449.031,day_of_week_month_day_total
2015-12,2015-12-01,2016-01-01,3,Wednesday,610880735,5,122176147.0,717.542,1778319449.031,day_of_week_month_day_total
2015-12,2015-12-01,2016-01-01,4,Thursday,599612147,5,119922429.4,717.542,1778319449.031,day_of_week_month_day_total
2015-12,2015-12-01,2016-01-01,5,Friday,476041454,4,119010363.5,717.542,1778319449.031,day_of_week_month_day_total
2015-12,2015-12-01,2016-01-01,6,Saturday,419817799,4,104954449.75,717.542,1778319449.031,day_of_week_month_day_total
2015-12,2015-12-01,2016-01-01,7,Sunday,374985272,4,93746318.0,717.542,1778319449.031,day_of_week_month_day_total
2016-01,2016-01-01,2016-02-01,1,Monday,425502132,4,106375533.0,703.706,1778320224.866,day_of_week_month_day_total
2016-01,2016-01-01,2016-02-01,2,Tuesday,412096710,4,103024177.5,703.706,1778320224.866,day_of_week_month_day_total
2016-01,2016-01-01,2016-02-01,3,Wednesday,452373378,4,113093344.5,703.706,1778320224.866,day_of_week_month_day_total
2016-01,2016-01-01,2016-02-01,4,Thursday,467712191,4,116928047.75,703.706,1778320224.866,day_of_week_month_day_total
2016-01,2016-01-01,2016-02-01,5,Friday,550057643,5,110011528.6,703.706,1778320224.866,day_of_week_month_day_total
2016-01,2016-01-01,2016-02-01,6,Saturday,489538301,5,97907660.2,703.706,1778320224.866,day_of_week_month_day_total
2016-01,2016-01-01,2016-02-01,7,Sunday,432328296,5,86465659.2,703.706,1778320224.866,day_of_week_month_day_total
2016-02,2016-02-01,2016-03-01,1,Monday,598353628,5,119670725.6,623.575,1778320920.504,day_of_week_month_day_total
2016-02,2016-02-01,2016-03-01,2,Tuesday,489076214,4,122269053.5,623.575,1778320920.504,day_of_week_month_day_total
2016-02,2016-02-01,2016-03-01,3,Wednesday,498042921,4,124510730.25,623.575,1778320920.504,day_of_week_month_day_total
2016-02,2016-02-01,2016-03-01,4,Thursday,509034187,4,127258546.75,623.575,1778320920.504,day_of_week_month_day_total
2016-02,2016-02-01,2016-03-01,5,Friday,525844643,4,131461160.75,623.575,1778320920.504,day_of_week_month_day_total
2016-02,2016-02-01,2016-03-01,6,Saturday,449071296,4,112267824.0,623.575,1778320920.504,day_of_week_month_day_total
2016-02,2016-02-01,2016-03-01,7,Sunday,384385413,4,96096353.25,623.575,1778320920.504,day_of_week_month_day_total
2016-03,2016-03-01,2016-04-01,1,Monday,409876298,4,102469074.5,692.042,1778321684.454,day_of_week_month_day_total
2016-03,2016-03-01,2016-04-01,2,Tuesday,612782590,5,122556518.0,692.042,1778321684.454,day_of_week_month_day_total
2016-03,2016-03-01,2016-04-01,3,Wednesday,628020487,5,125604097.4,692.042,1778321684.454,day_of_week_month_day_total
2016-03,2016-03-01,2016-04-01,4,Thursday,643208027,5,128641605.4,692.042,1778321684.454,day_of_week_month_day_total
2016-03,2016-03-01,2016-04-01,5,Friday,470292497,4,117573124.25,692.042,1778321684.454,day_of_week_month_day_total
2016-03,2016-03-01,2016-04-01,6,Saturday,422468036,4,105617009.0,692.042,1778321684.454,day_of_week_month_day_total
2016-03,2016-03-01,2016-04-01,7,Sunday,366439060,4,91609765.0,692.042,1778321684.454,day_of_week_month_day_total
2016-04,2016-04-01,2016-05-01,1,Monday,435477351,4,108869337.75,647.906,1778322413.13,day_of_week_month_day_total
2016-04,2016-04-01,2016-05-01,2,Tuesday,488886828,4,122221707.0,647.906,1778322413.13,day_of_week_month_day_total
2016-04,2016-04-01,2016-05-01,3,Wednesday,496644887,4,124161221.75,647.906,1778322413.13,day_of_week_month_day_total
2016-04,2016-04-01,2016-05-01,4,Thursday,507620319,4,126905079.75,647.906,1778322413.13,day_of_week_month_day_total
