month_label,month_start,next_month_start,month_total_volume,month_am_volume,month_pm_volume,month_am_share_pct,month_pm_share_pct,month_elapsed_seconds,completed_at_epoch
2024-09,2024-09-01,2024-10-01,3878586898,663548311,787319745,17.107991,20.299139,1124.368,1777257808.033
2024-10,2024-10-01,2024-11-01,4395226918,765753719,897309947,17.422393,20.415555,495.134,1777258374.381
2024-11,2024-11-01,2024-12-01,4247618310,718451395,849707691,16.914217,20.004333,1260.208,1777259865.315
2024-12,2024-12-01,2025-01-01,4204504222,655029007,822281750,15.579221,19.557163,1211.977,1777261149.735
2025-01,2025-01-01,2025-02-01,3948992470,614814482,791084738,15.568895,20.032571,1025.546,1777262248.579
2025-02,2025-02-01,2025-03-01,3847820366,672867101,774893169,17.486968,20.138496,1172.704,1777263494.597
2025-03,2025-03-01,2025-04-01,4384498446,743142024,880164175,16.949305,20.074455,1004.411,1777264571.267
2025-04,2025-04-01,2025-05-01,4042970331,666101621,827590588,16.475551,20.469865,1112.766,1777265756.29
2025-05,2025-05-01,2025-06-01,4304234239,751650338,888777016,17.463044,20.6489,1154.4,1777266985.798
2025-06,2025-06-01,2025-07-01,4105237117,703109540,847992781,17.127136,20.656365,1188.864,1777268246.835
2025-07,2025-07-01,2025-08-01,4285801250,728168298,889931634,16.990249,20.76465,1229.855,1777269550.94
2025-08,2025-08-01,2025-09-01,4387186136,759526279,901048551,17.312379,20.538188,1143.543,1777270771.689
2025-09,2025-09-01,2025-10-01,4188281575,723927142,852775700,17.284586,20.360993,1298.232,1777272155.9
2025-10,2025-10-01,2025-11-01,4513402918,784227894,919122408,17.375535,20.364289,1144.143,1777273374.315
2025-11,2025-11-01,2025-12-01,4306927842,714100847,867487600,16.580284,20.141679,1133.22,1777274579.425
2025-12,2025-12-01,2026-01-01,4207171812,662327205,828269274,15.742813,19.68708,1170.534,1777275824.171
2026-01,2026-01-01,2026-02-01,4063057374,624964032,802777023,15.38162,19.757954,1222.322,1777277118.943
2026-02,2026-02-01,2026-03-01,4127306156,716251296,831368515,17.353966,20.143127,1148.085,1777278343.554
2026-03,2026-03-01,2026-04-01,4414536971,755859743,894462338,17.122062,20.261748,997.268,1777279448.813
2026-04,2026-04-01,2026-05-01,840492772,126452267,168242471,15.045015,20.017123,526.574,1777280050.013
