rank,site_id,friendly_name,site_name,site_name_from_volume_csv,signal_type,municipality,total_cleaned_volume,latitude,longitude,has_coordinates,percentile_rank,traffic_band,volume_ratio,lookup_source,google_maps_url
11,2101,EASTERN Highway / QUEENS / BRUNSWICK,EASTERN HWY/QUEENS/BRUNSWICK,2014-01,INT,YRA,497445056,-37.793121,144.979346,True,99.78508489146787,red,0.737503,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.793121,144.979346"
12,855,Canterbury / Heathmont,CANTERBURY/HEATHMONT,2014-01,INT,MRH,497003865,-37.829799,145.244803,True,99.76359338061465,red,0.736849,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.829799,145.244803"
13,3357,MRR / GREENSBOROUGH Highway,MRR/GREENSBOROUGH HWY,2014-01,INT,BAN,495736142,-37.695056,145.092566,True,99.74210186976144,red,0.73497,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.695056,145.092566"
14,3516,BULLA near HOLYROOD,BULLA NR HOLYROOD,2014-01,POS,MNV,494139005,-37.738597,144.906609,True,99.72061035890823,red,0.732602,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.738597,144.906609"
15,3060,Bell / High,BELL/HIGH,2014-01,INT,BOR,492433092,-37.745172,145.002817,True,99.69911884805501,red,0.730073,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.745172,145.002817"
16,2816,DIAMOND CREEK RD / GREENSBOROUGH Highway / CIVIC,DIAMOND CREEK RD/GREENSBOROUGH HWY/CIVIC,2014-01,,,491145042,-37.68909,145.11328,True,99.6776273372018,red,0.728163,manual_override_roundabout_database,"https://www.google.com/maps/search/?api=1&query=-37.68909,145.11328"
17,3393,Punt / Swan,PUNT/SWAN,2014-01,INT,MBN,489568230,-37.824602,144.988855,True,99.65613582634859,red,0.725825,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.824602,144.988855"
18,3376,HODDLE near STUDLEY (NORTHBOUND),HODDLE NR STUDLEY (NORTHBOUND),2014-01,POS,YRA,488890200,-37.8024,144.99245,True,99.63464431549538,red,0.72482,manual_override_approx_hoddle_near_studley,"https://www.google.com/maps/search/?api=1&query=-37.8024,144.99245"
19,415,SPRINGVALE near WALKERS / SILVER,SPRINGVALE NR WALKERS/SILVER,2014-01,POS,WTH,488718913,-37.819786,145.175764,True,99.61315280464217,red,0.724566,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.819786,145.175764"
20,414,SPRINGVALE near TUNSTALL,SPRINGVALE NR TUNSTALL,2014-01,POS,WTH,486344942,-37.815046,145.176542,True,99.59166129378896,red,0.721046,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.815046,145.176542"
21,2929,King Street / Flinders Street,KING ST/FLINDERS ST,2014-01,INT,MBN,485057518,-37.820364,144.957558,True,99.57016978293574,red,0.719138,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.820364,144.957558"
22,4035,Burke / Barkers / Mont Albert,BURKE/BARKERS/MONT ALBERT,2014-01,INT,BOR,478691176,-37.817373,145.059356,True,99.54867827208253,red,0.709699,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.817373,145.059356"
23,2438,Princes Highway East near THE AVENUE,PHE NR THE AVENUE,2014-01,POS,FRA,470322516,-37.858271,144.996902,True,99.52718676122932,red,0.697292,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.858271,144.996902"
24,3052,Bell / Melville / Turner,BELL/MELVILLE/TURNER,2014-01,INT,MRD,468472268,-37.739195,144.945711,True,99.5056952503761,red,0.694549,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.739195,144.945711"
25,3381,Hoddle / Truro,HODDLE/TRURO,2014-01,INT,YRA,460540614,-37.797937,144.993283,True,99.4842037395229,red,0.682789,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.797937,144.993283"
26,2403,Princes Highway East / STURT,PHE/STURT,2014-01,INT,PTP,456674810,-37.830784,144.965153,True,99.46271222866969,red,0.677058,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.830784,144.965153"
27,3360,Banksia / Lwr Heidelberg,BANKSIA/LWR HEIDELBERG,2014-01,INT,BAN,452364288,-37.75973,145.069047,True,99.44122071781646,red,0.670667,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.75973,145.069047"
28,3385,Hoddle / Victoria,HODDLE/VICTORIA,2014-01,INT,YRA,449217059,-37.809908,144.99132,True,99.41972920696325,red,0.666001,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.809908,144.99132"
29,2326,Nepean / Bay / Karen,NEPEAN/BAY/KAREN,2014-01,INT,KIN,444606362,-37.957435,145.051922,True,99.39823769611003,red,0.659166,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.957435,145.051922"
30,2316,Nepean / North,NEPEAN/NORTH,2014-01,INT,BAY,432349576,-37.899837,145.006459,True,99.37674618525682,red,0.640994,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.899837,145.006459"
31,2985,Princes Highway East near CLOSEBURN,PHE NR CLOSEBURN,2014-01,POS,STO,431212288,-37.859189,145.003684,True,99.35525467440361,red,0.639308,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.859189,145.003684"
32,538,BURWOOD Highway / STANLEY / FORTESCUE,BURWOOD HWY/STANLEY/FORTESCUE,2014-01,POS,WTH,428564669,-37.855474,145.175184,True,99.33376316355039,red,0.635382,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.855474,145.175184"
33,3059,Bell / Street Georges,BELL/ST GEORGES,2014-01,INT,BOR,424979480,-37.744603,144.997452,True,99.31227165269718,red,0.630067,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.744603,144.997452"
34,2420,Princes Highway East / GRANGE,PHE/GRANGE,2014-01,INT,GLE,424321860,-37.881163,145.049558,True,99.29078014184397,red,0.629092,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.881163,145.049558"
35,3392,Punt / Brunton,PUNT/BRUNTON,2014-01,INT,MBN,421387756,-37.823047,144.989105,True,99.26928863099076,red,0.624742,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.823047,144.989105"
36,2628,Wrr / Sunshine / Mcintyre,WRR/SUNSHINE/MCINTYRE,2014-01,INT,BRM,418491452,-37.751576,144.832732,True,99.24779712013755,red,0.620448,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.751576,144.832732"
37,2173,Sydney / Wrr,SYDNEY/WRR,2014-01,INT,MRD,416360476,-37.692181,144.95865,True,99.22630560928434,red,0.617289,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.692181,144.95865"
38,3382,Hoddle / Johnston,HODDLE/JOHNSTON,2014-01,INT,YRA,415850171,-37.799845,144.992987,True,99.20481409843111,red,0.616532,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.799845,144.992987"
39,2329,Nepean / Warrigal / Balcombe,NEPEAN/WARRIGAL/BALCOMBE,2014-01,INT,KIN,415125460,-37.982174,145.071351,True,99.1833225875779,red,0.615458,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.982174,145.071351"
40,3383,Hoddle / Gipps,HODDLE/GIPPS,2014-01,INT,YRA,414910027,-37.804991,144.99213,True,99.1618310767247,red,0.615138,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.804991,144.99213"
41,4742,TOORAK near OSBORNE,TOORAK NR OSBORNE,2014-01,POS,FRA,411127240,-37.839045,144.992039,True,99.14033956587149,red,0.60953,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.839045,144.992039"
42,117,Maroondah / Springvale,MAROONDAH/SPRINGVALE,2014-01,INT,WTH,410542112,-37.818459,145.175999,True,99.11884805501828,red,0.608663,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.818459,145.175999"
43,2843,Monash / Toorak / Auburn,MONASH/TOORAK/AUBURN,2014-01,INT,BOR,410170343,-37.844883,145.040855,True,99.09735654416505,red,0.608111,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.844883,145.040855"
44,948,Princes Highway East / SPRINGVALE BYPASS / Westall,PHE/SPRINGVALE BYPASS/Westall,2014-01,INT,MSH,409360248,-37.924655,145.143566,True,99.07586503331184,red,0.60691,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.924655,145.143566"
45,3735,Plenty / Grimshaw,PLENTY/GRIMSHAW,2014-01,INT,BAN,407474384,-37.700033,145.05837,True,99.05437352245863,red,0.604114,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.700033,145.05837"
46,3681,Monash / Warrigal,MONASH/WARRIGAL,2014-01,INT,FRA,406633229,-37.883239,145.090011,True,99.03288201160542,red,0.602867,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.883239,145.090011"
47,2100,Eastern / Nicholson / Princes,EASTERN/NICHOLSON/PRINCES,2014-01,INT,YRA,404076099,-37.793047,144.975715,True,99.0113905007522,red,0.599076,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.793047,144.975715"
48,2337,Nepean / Cummins / Patterson,NEPEAN/CUMMINS/PATTERSON,2014-01,INT,GLE,403381671,-37.924902,145.026256,True,98.98989898989899,red,0.598047,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.924902,145.026256"
49,2701,MELTON Highway / SUNSHINE,MELTON HWY/SUNSHINE,2014-01,POS,BRM,402877256,-37.701628,144.800222,True,98.96840747904577,red,0.597299,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.701628,144.800222"
50,3384,Hoddle / Langridge,HODDLE/LANGRIDGE,2014-01,INT,YRA,401283844,-37.807161,144.991773,True,98.94691596819256,red,0.594936,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.807161,144.991773"
51,2425,Princes Highway East / WARRIGAL,PHE/WARRIGAL,2014-01,INT,STO,398573117,-37.893093,145.088202,True,98.92542445733935,red,0.590917,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.893093,145.088202"
52,2833,2014-01,2014-01,2014-01,,,392587227,,,False,98.90393294648614,red,0.582043,,https://www.google.com/maps/search/?api=1&query=SCATS%202833%202014-01%20Victoria
53,2416,Princes Highway East / NORMANBY / STATION,PHE/NORMANBY/STATION,2014-01,INT,GLE,391219605,-37.868478,145.031261,True,98.88244143563293,red,0.580015,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.868478,145.031261"
54,2157,Sydney / Mahoneys / Camp,SYDNEY/MAHONEYS/CAMP,2014-01,INT,HUM,389651351,-37.689554,144.958231,True,98.86094992477972,red,0.57769,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.689554,144.958231"
55,2315,Nepean / Martin / Gardenvale,NEPEAN/MARTIN/GARDENVALE,2014-01,INT,BAY,387977284,-37.897608,145.005663,True,98.8394584139265,red,0.575208,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.897608,145.005663"
56,2614,WESTERN Highway / STATION,WESTERN HWY/STATION,2014-01,INT,BRM,387494577,-37.770309,144.77471,True,98.81796690307328,red,0.574493,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.770309,144.77471"
57,2421,Princes Highway East / DARLING / KOORNANG,PHE/DARLING/KOORNANG,2014-01,INT,GLE,387026675,-37.883888,145.058073,True,98.79647539222007,red,0.573799,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.883888,145.058073"
58,3390,Punt / Bridge / Hoddle / Wellington,PUNT/BRIDGE/HODDLE/WELLINGTON,2014-01,INT,MBN,385989403,-37.817555,144.990013,True,98.77498388136686,red,0.572261,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.817555,144.990013"
59,2103,EASTERN Highway / SMITH,EASTERN HWY/SMITH,2014-01,INT,YRA,385146382,-37.794078,144.985112,True,98.75349237051365,red,0.571011,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.794078,144.985112"
60,2868,Tullamarine / Mickleham,TULLAMARINE/MICKLEHAM,2014-01,INT,HUM,383329373,-37.690816,144.881945,True,98.73200085966043,red,0.568317,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.690816,144.881945"
61,5296,Phw / Federation Trail,PHW/FEDERATION TRAIL,2014-01,POS,WYN,381968735,-37.819275,144.840111,True,98.71050934880722,red,0.5663,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.819275,144.840111"
62,2406,Princes Highway East / QUEENS,PHE/QUEENS,2014-01,INT,PTP,381814908,-37.836233,144.973047,True,98.68901783795401,red,0.566072,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.836233,144.973047"
63,4711,Swanston / Cemetery East / College,SWANSTON/CEMETERY EAST/COLLEGE,2014-01,INT,MBN,381289235,-37.793413,144.965161,True,98.6675263271008,red,0.565293,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.793413,144.965161"
64,195,Princes Highway East (LONSDALE) / WALKER,PHE (LONSDALE)/WALKER,2014-01,INT,DAN,380350457,-37.988178,145.214399,True,98.64603481624758,red,0.563901,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.988178,145.214399"
65,1144,BORONIA near AMESBURY & ROXBURGH,BORONIA NR AMESBURY & ROXBURGH,2014-01,POS,KNO,379896684,-37.851476,145.239713,True,98.62454330539437,red,0.563228,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.851476,145.239713"
66,429,Springvale / Ferntree Gully,SPRINGVALE/FERNTREE GULLY,2014-01,INT,MSH,379284312,-37.903537,145.161405,True,98.60305179454116,red,0.56232,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.903537,145.161405"
67,999,CANTERBURY near GREEN HILL,CANTERBURY NR GREEN HILL,2014-01,POS,MRH,377759395,-37.830471,145.263797,True,98.58156028368793,red,0.560059,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.830471,145.263797"
68,1156,SOUTH GIPPSLAND Highway between STATION / LOCH,SOUTH GIPPSLAND HWY BTW STATION/LOCH,2014-01,POS,CAS,377073282,-38.100842,145.282694,True,98.56006877283473,red,0.559042,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.100842,145.282694"
69,2407,Princes Highway East / LORNE (X LAKESIDE),PHE/LORNE (X LAKESIDE),2014-01,INT,PTP,375739484,-37.850738,144.978351,True,98.53857726198152,red,0.557065,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.850738,144.978351"
70,3671,Street Georges / Merri / Charles,ST GEORGES/MERRI/CHARLES,2014-01,INT,DAR,375708270,-37.776519,144.98974,True,98.5170857511283,red,0.557018,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.776519,144.98974"
71,2172,Wrr / Pascoe Vale,WRR/PASCOE VALE,2014-01,INT,HUM,375339204,-37.694667,144.915258,True,98.49559424027508,red,0.556471,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.694667,144.915258"
72,2422,Princes Highway East / MURRUMBEENA / BELGRAVE,PHE/MURRUMBEENA/BELGRAVE,2014-01,INT,FRA,374935276,-37.884552,145.067478,True,98.47410272942187,red,0.555872,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.884552,145.067478"
73,3706,Warrigal / Middle,WARRIGAL/MIDDLE,2014-01,INT,STO,374815046,-37.886996,145.089382,True,98.45261121856866,red,0.555694,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.886996,145.089382"
74,4169,Metropolitan Ring Road / Plenty,METROPOLITAN RING ROAD/PLENTY,2014-01,INT,WHI,373067435,-37.687066,145.067692,True,98.43111970771545,red,0.553103,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.687066,145.067692"
75,4461,Flemington / Racecourse / Elliot,FLEMINGTON/RACECOURSE/ELLIOT,2014-01,INT,MBN,372247743,-37.789404,144.942166,True,98.40962819686224,red,0.551888,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.789404,144.942166"
76,2020,BURWOOD Highway near MILPERA,BURWOOD HWY NR MILPERA,2014-01,POS,KNO,372199007,-37.863825,145.219784,True,98.38813668600903,red,0.551816,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.863825,145.219784"
77,4187,GREENSBOROUGH Highway / GRIMSHAW ST,GREENSBOROUGH HWY/GRIMSHAW ST,2014-01,INT,BAN,371012670,-37.703168,145.089827,True,98.36664517515581,red,0.550057,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.703168,145.089827"
78,2827,Eastern Freeway / Bulleen / Thompsons,EASTERN FWY/BULLEEN/THOMPSONS,2014-01,INT,BOR,370582073,-37.779531,145.078645,True,98.3451536643026,red,0.549418,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.779531,145.078645"
79,2336,Nepean / Dendy,NEPEAN/DENDY,2014-01,INT,BAY,368801497,-37.922877,145.024464,True,98.32366215344939,red,0.546779,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.922877,145.024464"
80,4381,Rathdowne / Princes,RATHDOWNE/PRINCES,2014-01,INT,MBN,368514266,-37.792589,144.971354,True,98.30217064259618,red,0.546353,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.792589,144.971354"
81,2104,EASTERN Highway / WELLINGTON,EASTERN HWY/WELLINGTON,2014-01,INT,YRA,367296762,-37.794388,144.988164,True,98.28067913174297,red,0.544548,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.794388,144.988164"
82,2412,Princes Highway East / ORRONG,PHE/ORRONG,2014-01,INT,GLE,366473067,-37.860434,145.01051,True,98.25918762088975,red,0.543327,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.860434,145.01051"
83,2613,WESTERN Highway / MCINTYRE / ANDERSON,WESTERN HWY/MCINTYRE/ANDERSON,2014-01,INT,BRM,365991541,-37.777059,144.82872,True,98.23769611003654,red,0.542613,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.777059,144.82872"
84,4155,HIGH near WALKER,HIGH NR WALKER,2014-01,POS,DAR,365437068,-37.78381,144.996148,True,98.21620459918333,red,0.541791,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.78381,144.996148"
85,2302,Nepean / Fitzroy / Wellington,NEPEAN/FITZROY/WELLINGTON,2014-01,INT,PTP,364909593,-37.856393,144.983185,True,98.1947130883301,red,0.541009,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.856393,144.983185"
86,3198,Centre / Clayton,CENTRE/CLAYTON,2014-01,INT,MSH,363923761,-37.928527,145.119061,True,98.1732215774769,red,0.539547,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.928527,145.119061"
87,3174,Narre Warren - Cranbourne / Greaves,NARRE WARREN - CRANBOURNE/GREAVES,2014-01,INT,CAS,362999983,-38.054864,145.301221,True,98.15173006662368,red,0.538177,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-38.054864,145.301221"
88,2424,Princes Highway East / POATH / CHADSTONE,PHE/POATH/CHADSTONE,2014-01,INT,GLE,361274463,-37.887244,145.078165,True,98.13023855577046,red,0.535619,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.887244,145.078165"
89,2161,Sydney Road / Somerton / Cooper,SYDNEY RD/SOMERTON/COOPER,2014-01,INT,HUM,357753587,-37.643354,144.951467,True,98.10874704491725,red,0.530399,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.643354,144.951467"
90,3056,Bell / Nicholson / Elizabeth,BELL/NICHOLSON/ELIZABETH,2014-01,INT,MRD,354941351,-37.742572,144.978066,True,98.08725553406404,red,0.52623,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.742572,144.978066"
91,2437,Princes Highway East / CHADSTONE ENT 3,PHE/CHADSTONE ENT 3,2014-01,INT,FRA,354411127,-37.889126,145.081687,True,98.06576402321083,red,0.525444,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.889126,145.081687"
92,2309,NEPEAN near MILTON,NEPEAN NR MILTON,2014-01,POS,PTP,354290866,-37.872685,144.990003,True,98.04427251235762,red,0.525265,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.872685,144.990003"
93,202,STUD near OSWALD,STUD NR OSWALD,2014-01,POS,DAN,352422511,-37.975957,145.222548,True,98.02278100150441,red,0.522495,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.975957,145.222548"
94,3022,Ormond Esp / Street Kilda / Head,ORMOND ESP/ST KILDA/HEAD,2014-01,INT,PTP,352302804,-37.891737,144.990672,True,98.00128949065119,red,0.522318,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.891737,144.990672"
95,2918,Victoria / Latrobe,VICTORIA/LATROBE,2014-01,INT,MBN,352085251,-37.807491,144.970696,True,97.97979797979798,red,0.521995,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.807491,144.970696"
96,408,Springvale / The Glen Shopping,SPRINGVALE/THE GLEN SHOPPING,2014-01,INT,MSH,351742972,-37.877211,145.166319,True,97.95830646894477,red,0.521488,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.877211,145.166319"
97,2408,Princes Highway East / UNION,PHE/UNION,2014-01,INT,PTP,350979736,-37.853554,144.979322,True,97.93681495809156,red,0.520356,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.853554,144.979322"
98,2325,Nepean / Highett / Rowans,NEPEAN/HIGHETT/ROWANS,2014-01,INT,KIN,350367083,-37.949484,145.04626,True,97.91532344723835,red,0.519448,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.949484,145.04626"
99,417,Springvale / Canterbury,SPRINGVALE/CANTERBURY,2014-01,INT,WTH,349674249,-37.834731,145.172759,True,97.89383193638513,red,0.518421,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.834731,145.172759"
100,2409,Princes Highway East / CHAPEL,PHE/CHAPEL,2014-01,INT,PTP,348853457,-37.85779,144.992239,True,97.87234042553192,red,0.517204,victorian_traffic_signals_all_SCATS_locations.csv,"https://www.google.com/maps/search/?api=1&query=-37.85779,144.992239"
