month_label,month_start,next_month_start,month_total_volume,month_weekday_volume,month_weekend_volume,month_weekday_days,month_weekend_days,month_elapsed_seconds,completed_at_epoch,row_type
2022-10,2022-10-01,2022-11-01,4054063434,2893520837,1160542597,21,10,770.381,1778112249.322,weekday_weekend_month_total
2022-11,2022-11-01,2022-12-01,4007093695,3058443603,948650092,22,8,743.635,1778113123.182,weekday_weekend_month_total
2022-12,2022-12-01,2023-01-01,3903774145,2963778836,939995309,22,8,750.353,1778113987.444,weekday_weekend_month_total
2023-01,2023-01-01,2023-02-01,3729479465,2772461964,957017501,22,9,764.384,1778114881.141,weekday_weekend_month_total
2023-02,2023-02-01,2023-03-01,3792856272,2839081487,953774785,20,8,767.438,1778115768.691,weekday_weekend_month_total
2023-03,2023-03-01,2023-04-01,4205558948,3260023940,945535008,23,8,754.318,1778116648.786,weekday_weekend_month_total
2023-04,2023-04-01,2023-05-01,3765168137,2636828385,1128339752,20,10,776.249,1778117544.526,weekday_weekend_month_total
2023-05,2023-05-01,2023-06-01,4146691721,3204326221,942365500,23,8,774.172,1778118437.462,weekday_weekend_month_total
2023-06,2023-06-01,2023-07-01,3903344414,2985579330,917765084,22,8,754.502,1778119310.403,weekday_weekend_month_total
2023-07,2023-07-01,2023-08-01,3896326692,2752057074,1144269618,20,10,740.378,1778120164.398,weekday_weekend_month_total
2023-08,2023-08-01,2023-09-01,4145936552,3209146247,936790305,23,8,827.887,1778121115.073,weekday_weekend_month_total
2023-09,2023-09-01,2023-10-01,3940445529,2892879978,1047565551,21,9,769.349,1778122002.191,weekday_weekend_month_total
2023-10,2023-10-01,2023-11-01,4194260387,3136691816,1057568571,22,9,765.147,1778122885.249,weekday_weekend_month_total
2023-11,2023-11-01,2023-12-01,4121872208,3153726557,968145651,22,8,798.629,1778123805.2,weekday_weekend_month_total
2023-12,2023-12-01,2024-01-01,4032779267,2866613793,1166165474,21,10,801.615,1778124729.686,weekday_weekend_month_total
2024-01,2024-01-01,2024-02-01,3804896566,2928855315,876041251,23,8,776.499,1778125625.3,weekday_weekend_month_total
2024-02,2024-02-01,2024-03-01,4061556304,3077584977,983971327,21,8,752.869,1778126494.62,weekday_weekend_month_total
2024-03,2024-03-01,2024-04-01,4206790326,3027163570,1179626756,21,10,747.305,1778127358.51,weekday_weekend_month_total
2024-04,2024-04-01,2024-05-01,3982212468,3024759449,957453019,22,8,725.143,1778128201.651,weekday_weekend_month_total
2024-05,2024-05-01,2024-06-01,4296752485,3314254774,982497711,23,8,803.189,1778129127.367,weekday_weekend_month_total
2024-06,2024-06-01,2024-07-01,3972755318,2800435142,1172320176,20,10,750.147,1778130000.879,weekday_weekend_month_total
2024-07,2024-07-01,2024-08-01,4141492150,3212205803,929286347,23,8,801.816,1778130924.807,weekday_weekend_month_total
2024-08,2024-08-01,2024-09-01,4285525933,3179734549,1105791384,22,9,792.312,1778131840.27,weekday_weekend_month_total
2024-09,2024-09-01,2024-10-01,3878586898,2835723298,1042863600,20,9,780.964,1778132772.991,weekday_weekend_month_total
2024-10,2024-10-01,2024-11-01,4395226918,3401495035,993731883,23,8,771.873,1778133659.914,weekday_weekend_month_total
2024-11,2024-11-01,2024-12-01,4247618310,3122200846,1125417464,21,9,767.316,1778134549.066,weekday_weekend_month_total
2024-12,2024-12-01,2025-01-01,4204504222,3104969606,1099534616,22,9,755.998,1778135424.74,weekday_weekend_month_total
2025-01,2025-01-01,2025-02-01,3948992470,3057657112,891335358,23,8,775.601,1778136325.023,weekday_weekend_month_total
2025-02,2025-02-01,2025-03-01,3847820366,2853986754,993833612,19,8,750.939,1778137195.861,weekday_weekend_month_total
2025-03,2025-03-01,2025-04-01,4384498446,3134120613,1250377833,21,10,798.065,1778138111.587,weekday_weekend_month_total
2025-04,2025-04-01,2025-05-01,4042970331,3097505993,945464338,22,8,751.411,1778138983.194,weekday_weekend_month_total
2025-05,2025-05-01,2025-06-01,4304234239,3152617105,1151617134,22,9,711.281,1778139812.858,weekday_weekend_month_total
2025-06,2025-06-01,2025-07-01,4105237117,3022650749,1082586368,21,9,670.469,1778140616.7,weekday_weekend_month_total
2025-07,2025-07-01,2025-08-01,4285801250,3322292566,963508684,23,8,740.651,1778141475.372,weekday_weekend_month_total
2025-08,2025-08-01,2025-09-01,4387186136,3129774458,1257411678,21,10,766.984,1778142363.93,weekday_weekend_month_total
2025-09,2025-09-01,2025-10-01,4188281575,3212402323,975879252,22,8,753.138,1778143239.042,weekday_weekend_month_total
2025-10,2025-10-01,2025-11-01,4513402918,3501782193,1011620725,23,8,746.583,1778144103.307,weekday_weekend_month_total
2025-11,2025-11-01,2025-12-01,4306927842,3028823008,1278104834,20,10,770.258,1778144993.071,weekday_weekend_month_total
2025-12,2025-12-01,2026-01-01,4207171812,3209184217,997987595,22,8,780.166,1778145896.26,weekday_weekend_month_total
2026-01,2026-01-01,2026-02-01,4063057374,2999337785,1063719589,22,9,755.791,1778146774.866,weekday_weekend_month_total
2026-02,2026-02-01,2026-03-01,4127306156,3086301817,1041004339,20,8,767.274,1778147679.714,weekday_weekend_month_total
2026-03,2026-03-01,2026-04-01,4414536971,3288541443,1125995528,22,9,762.87,1778148566.615,weekday_weekend_month_total
2026-04,2026-04-01,2026-05-01,840492772,629720990,210771782,5,2,529.924,1778149227.95,weekday_weekend_month_total
