file,name,rows_estimate,usefulness_score_0_to_3,has_day_column,has_time_column,has_volume_column,columns,error
A:\TrafficAnalytics\PROJECTS\reports\deduped\charts\yearly_totals_from_monthly.csv,yearly_totals_from_monthly.csv,13,1,False,False,True,year | volume,
A:\TrafficAnalytics\PROJECTS\reports\deduped\chunked_busiest_day_monthly.csv,chunked_busiest_day_monthly.csv,4438,2,True,False,True,month_label | month_start | next_month_start | count_date | day_total_volume | month_elapsed_seconds | completed_at_epoch,
A:\TrafficAnalytics\PROJECTS\reports\deduped\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,595055,1,False,False,True,month_label | month_start | next_month_start | scats_site | month_site_volume | month_elapsed_seconds | completed_at_epoch,
A:\TrafficAnalytics\PROJECTS\reports\deduped\chunked_busiest_time_bin_monthly.csv,chunked_busiest_time_bin_monthly.csv,14113,2,False,True,True,month_label | month_start | next_month_start | time_bin | month_time_bin_volume | month_distinct_dates | month_avg_daily_time_bin_volume | month_elapsed_seconds | completed_at_epoch,
A:\TrafficAnalytics\PROJECTS\reports\deduped\chunked_peak_shares_monthly.csv,chunked_peak_shares_monthly.csv,148,1,False,False,True,month_label | month_start | next_month_start | month_total_volume | month_am_volume | month_pm_volume | month_am_share_pct | month_pm_share_pct | month_elapsed_seconds | completed_at_epoch,
A:\TrafficAnalytics\PROJECTS\reports\deduped\chunked_total_cleaned_volume_monthly.csv,chunked_total_cleaned_volume_monthly.csv,148,1,False,False,True,month_label | month_start | next_month_start | month_total_cleaned_volume | month_elapsed_seconds | completed_at_epoch,
A:\TrafficAnalytics\PROJECTS\reports\deduped\daily_totals.csv,daily_totals.csv,4438,2,True,False,True,month_label | month_start | next_month_start | count_date | day_total_volume | month_elapsed_seconds | completed_at_epoch,
A:\TrafficAnalytics\PROJECTS\reports\deduped\day_of_week_charts\day_of_week_final_summary.csv,day_of_week_final_summary.csv,7,2,True,False,True,iso_dow | day_name | total_volume | days_loaded | avg_daily_volume,
A:\TrafficAnalytics\PROJECTS\reports\deduped\day_of_week_charts_v2\v2_day_summary.csv,v2_day_summary.csv,7,2,True,False,True,iso_dow | day_name | total_volume | days_loaded | avg_daily_volume,
A:\TrafficAnalytics\PROJECTS\reports\deduped\day_of_week_charts_v2\v2_yearly_day_metrics.csv,v2_yearly_day_metrics.csv,13,2,True,False,True,year | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday | Sunday | Friday_vs_Monday_pct | Friday_vs_Sunday_pct | Monday_vs_weekday_avg_pct,
A:\TrafficAnalytics\PROJECTS\reports\deduped\day_of_week_profile.csv,day_of_week_profile.csv,1030,2,True,False,True,month_label | month_start | next_month_start | iso_dow | day_name | day_total_volume | days_loaded | avg_daily_volume | month_elapsed_seconds | completed_at_epoch | row_type,
A:\TrafficAnalytics\PROJECTS\reports\deduped\didntwork\chunked_total_cleaned_volume_monthly.csv,chunked_total_cleaned_volume_monthly.csv,23,1,False,False,True,month_label | month_start | next_month_start | month_total_cleaned_volume | month_elapsed_seconds | completed_at_epoch,
A:\TrafficAnalytics\PROJECTS\reports\deduped\didntworkagainagain\chunked_busiest_site_monthly.csv,chunked_busiest_site_monthly.csv,10309,1,False,False,True,month_label | month_start | next_month_start | scats_site | month_site_volume | month_elapsed_seconds | completed_at_epoch,
A:\TrafficAnalytics\PROJECTS\reports\deduped\didntworkagan\chunked_total_cleaned_volume_monthly.csv,chunked_total_cleaned_volume_monthly.csv,1,1,False,False,True,month_label | month_start | next_month_start | month_total_cleaned_volume | month_elapsed_seconds | completed_at_epoch,
A:\TrafficAnalytics\PROJECTS\reports\deduped\distinct_sites.csv,distinct_sites.csv,1,0,False,False,False,distinct_sites,
A:\TrafficAnalytics\PROJECTS\reports\deduped\headline_metrics.csv,headline_metrics.csv,19,0,False,False,False,metric_name | metric_value,
A:\TrafficAnalytics\PROJECTS\reports\deduped\high_impact_charts\commercial_value_ranking_top25.csv,commercial_value_ranking_top25.csv,25,1,False,False,True,site_id | total_volume | site_name | absolute_growth | growth_pct | cv | volume_score | growth_score | stability_score | commercial_value_score | rank,
A:\TrafficAnalytics\PROJECTS\reports\deduped\high_impact_charts\declining_sites_top20.csv,declining_sites_top20.csv,20,1,False,False,True,site_id | first_avg | site_name | last_avg | absolute_growth | growth_pct | rank,
A:\TrafficAnalytics\PROJECTS\reports\deduped\high_impact_charts\month_of_year_profile_from_monthly_totals.csv,month_of_year_profile_from_monthly_totals.csv,12,1,False,False,True,month_num | month_name | avg_volume,
A:\TrafficAnalytics\PROJECTS\reports\deduped\high_impact_charts\network_stability_index.csv,network_stability_index.csv,147,1,False,False,True,month | mean_site_volume | std_site_volume | active_sites | network_cv,
A:\TrafficAnalytics\PROJECTS\reports\deduped\high_impact_charts\rising_sites_top20.csv,rising_sites_top20.csv,20,1,False,False,True,site_id | first_avg | site_name | last_avg | absolute_growth | growth_pct | rank,
