rank,site_id,total_volume,months_present_x,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band,months_present_y,monthly_total,monthly_mean,monthly_median,monthly_std,monthly_max,monthly_min,monthly_cv,max_to_mean_ratio,first12_avg,last12_avg,growth_abs,growth_pct,friendly_name,site_name,latitude,longitude,traffic_band,percentile_rank,volume_ratio,google_maps_url,scale_score,stability_score,volatility_score,growth_score,spike_score,traffic_archetype,archetype_colour,ooh_exposure_score,traffic_transformation_index,strategic_importance_score
408,3986,242093404,147,2014-01,2026-04,1646893.9,1863851,2026-03,1863851,0.044914,129290434328,23.986172,Top 10%,147,242093404.0,1646893.9047619049,1684365.0,174908.37038165506,1863851.0,372039.0,0.10620500195909217,1.1317371414216637,1543399.0833333333,1648873.3333333333,105474.25,6.83389352365064,CAMP near SMILEY,CAMP NR SMILEY,-37.686848,144.932616,orange,91.25295508274232,0.358923,"https://www.google.com/maps/search/?api=1&query=-37.686848,144.932616",91.44598570828079,98.6457437661221,1.354256233877902,63.37510803802938,2.084676552761659,Metropolitan Backbone,#7b1fa2,87.63174968869083,38.088420717836485,73.75800236463834
16,2816,491145042,147,2014-01,2026-04,3341122.73,4127796,2025-10,4127796,0.091118,8563096584,1.58864,Top 1%,147,491145042.0,3341122.7346938774,3428988.0,447975.5087826029,4127796.0,702999.0,0.1340793333123836,1.2354517710880202,3205673.4166666665,3453442.5833333335,247769.16666666698,7.729083236566971,DIAMOND CREEK RD / GREENSBOROUGH Highway / CIVIC,DIAMOND CREEK RD/GREENSBOROUGH HWY/CIVIC,-37.68909,145.11328,red,99.6776273372018,0.728163,"https://www.google.com/maps/search/?api=1&query=-37.68909,145.11328",99.68474148802018,79.42820292347378,20.571797076526224,64.58513396715644,39.43692241564582,Metropolitan Backbone,#7b1fa2,87.60068534271085,52.42815582688202,76.74657060921405
37,2173,416360476,147,2014-01,2026-04,2832384.19,4032203,2017-05,4032203,0.077244,18080233037,3.354274,Top 1%,147,416360476.0,2832384.1904761903,2833189.0,367465.4652056422,4032203.0,555594.0,0.12973715445850678,1.4236073670931244,2667948.75,2775141.0833333335,107192.33333333349,4.017780826312105,Sydney / Wrr,SYDNEY/WRR,-37.692181,144.95865,red,99.22630560928434,0.617289,"https://www.google.com/maps/search/?api=1&query=-37.692181,144.95865",99.24337957124843,83.77042132416165,16.22957867583835,59.09680207433017,73.04964539007092,Metropolitan Backbone,#7b1fa2,87.3458245100931,54.2155158816028,75.66740228813592
161,784,314650790,147,2014-01,2026-04,2140481.56,2432231,2025-10,2432231,0.058375,62062138012,11.513869,Top 5%,147,314650790.0,2140481.5646258504,2185523.0,251678.20301223273,2432231.0,451057.0,0.11758017783078889,1.136300840051919,2131607.5,2143643.75,12036.25,0.5646560166447153,Streetud / Wellington,STUD/WELLINGTON,-37.92801,145.233067,red,96.56135826348591,0.466496,"https://www.google.com/maps/search/?api=1&query=-37.92801,145.233067",96.63724253888188,94.51848667239898,5.481513327601032,52.65773552290406,2.8798624543305396,Metropolitan Backbone,#7b1fa2,87.3116521690656,37.47527819745754,73.7442305806976
184,737,298774325,147,2014-01,2026-04,2032478.4,2646263,2025-10,2646263,0.055429,69112612241,12.821884,Top 5%,147,298774325.0,2032478.4013605441,2071943.0,262304.8006300248,2646263.0,436269.0,0.1290566239003758,1.3019882515005263,1965234.5833333333,2132371.25,167136.66666666674,8.504667487744788,Moorooduc / Golf Links / Towerhill,MOOROODUC/GOLF LINKS/TOWERHILL,-38.163557,145.13659,red,96.06705351386202,0.442958,"https://www.google.com/maps/search/?api=1&query=-38.163557,145.13659",96.15384615384616,84.60877042132417,15.391229578675839,65.75194468452895,57.01697829357404,Metropolitan Backbone,#7b1fa2,87.18719692685224,52.89582973270057,75.65005822720278
454,1112,233226509,147,2014-01,2026-04,1586574.89,1878229,2021-03,1878229,0.043269,140196883601,26.009554,Top 10%,147,233226509.0,1586574.8911564625,1612054.0,186289.88456564464,1878229.0,300195.0,0.11741638267693559,1.183826247641515,1415368.8333333333,1569422.25,154053.41666666674,10.884330150456666,Dandenong Southern Bypass / Eastlink,DANDENONG SOUTHERN BYPASS/EASTLINK,-38.00147,145.192208,orange,90.26434558349452,0.345778,"https://www.google.com/maps/search/?api=1&query=-38.00147,145.192208",90.47919293820932,94.5829750644884,5.417024935511608,68.49611063094208,19.96561358263486,Metropolitan Backbone,#7b1fa2,87.10852200832565,43.53547254174878,74.14400770160702
49,2701,402877256,147,2014-01,2026-04,2740661.61,3079861,2025-03,3079861,0.074742,22991761277,4.265469,Top 5%,147,402877256.0,2740661.605442177,2798319.0,332703.03008758376,3079861.0,584538.0,0.1213951512390037,1.123765514824694,2741540.4166666665,2722574.25,-18966.16666666651,-0.6918069327508489,MELTON Highway / SUNSHINE,MELTON HWY/SUNSHINE,-37.701628,144.800222,red,98.96840747904577,0.597299,"https://www.google.com/maps/search/?api=1&query=-37.701628,144.800222",98.99117276166457,91.87446259673258,8.125537403267412,48.31460674157304,1.1820330969267139,Metropolitan Backbone,#7b1fa2,87.07668201641327,37.31385963048743,73.8026722209003
65,1144,379896684,147,2014-01,2026-04,2584331.18,2930828,2016-11,2930828,0.070479,29187360134,5.414887,Top 5%,147,379896684.0,2584331.1836734693,2643760.0,300235.2207605747,2930828.0,429772.0,0.11617521107871655,1.1340760110451504,2585782.3333333335,2522582.4166666665,-63199.91666666698,-2.4441313505764395,BORONIA near AMESBURY & ROXBURGH,BORONIA NR AMESBURY & ROXBURGH,-37.851476,145.239713,red,98.62454330539435,0.563228,"https://www.google.com/maps/search/?api=1&query=-37.851476,145.239713",98.65489701555276,95.20636285468615,4.793637145313843,44.98703543647364,2.5359982806791317,Metropolitan Backbone,#7b1fa2,87.0591911595203,35.28526277701436,73.15242888702778
281,6616,272899264,147,2014-01,2026-04,1856457.58,2187383,2021-12,2187383,0.050629,96772424181,17.953378,Top 10%,147,272899264.0,1856457.5782312925,1903606.0,219813.78525750342,2187383.0,406335.0,0.11840495998132484,1.1782563876757102,1724108.5833333333,1790533.1666666667,66424.58333333349,3.852691412562337,Princes Highway East near LOCH,PHE NR LOCH,-38.203436,146.062034,orange,93.98237696110036,0.404596,"https://www.google.com/maps/search/?api=1&query=-38.203436,146.062034",94.11517444304329,93.87360275150472,6.126397248495271,58.83751080380294,17.51558134536858,Metropolitan Backbone,#7b1fa2,86.99924879231058,41.245864368528174,73.8130107977053
325,3616,260353598,147,2014-01,2026-04,1771112.91,2242393,2026-03,2242393,0.048301,108470504394,20.123625,Top 10%,147,260353598.0,1771112.9115646258,1803024.0,212004.9113152653,2242393.0,440747.0,0.11970152209436337,1.2660926276117759,1763205.0833333333,1858904.5,95699.41666666674,5.4275828473536,Pascoe Vale / Barry,PASCOE VALE/BARRY,-37.66379,144.922082,orange,93.036750483559,0.385996,"https://www.google.com/maps/search/?api=1&query=-37.66379,144.922082",93.19041614123581,93.05674978503869,6.9432502149613065,61.21434745030251,48.91467870191274,Metropolitan Backbone,#7b1fa2,86.76178581399988,46.769726843861285,73.83139424286856
141,2169,324079205,147,2014-01,2026-04,2204620.44,2686389,2025-10,2686389,0.060124,55681171810,10.330062,Top 5%,147,324079205.0,2204620.4421768705,2237818.0,301352.12866203324,2686389.0,390060.0,0.13669116138852194,1.2185267579880668,2066044.3333333333,2346112.75,280068.41666666674,13.555779619443472,2014-01,2014-01,,,red,96.99118848055018,0.480474,https://www.google.com/maps/search/?api=1&query=SCATS%202169%202014-01%20Victoria,97.05758722152164,76.20378331900258,23.79621668099742,71.21866897147797,34.128519234902214,Metropolitan Backbone,#7b1fa2,86.67635259588315,54.225071859332154,76.72983720993047
48,2337,403381671,147,2014-01,2026-04,2744093.0,3110562,2025-10,3110562,0.074836,22588884021,4.190727,Top 5%,147,403381671.0,2744093.0,2821630.0,348086.7357516411,3110562.0,542483.0,0.1268494674749147,1.133548316328929,2734572.6666666665,2745547.25,10974.583333333489,0.40132717872555423,Nepean / Cummins / Patterson,NEPEAN/CUMMINS/PATTERSON,-37.924902,145.026256,red,98.989898989899,0.598047,"https://www.google.com/maps/search/?api=1&query=-37.924902,145.026256",99.01218999579655,87.10232158211522,12.89767841788478,52.160760587726884,2.3640661938534278,Metropolitan Backbone,#7b1fa2,86.6644370107623,40.319463550815065,74.3427536947596
192,3391,297178859,147,2014-01,2026-04,2021624.89,2376481,2023-03,2376481,0.055133,71496340636,13.264118,Top 5%,147,297178859.0,2021624.8911564625,2044585.0,259060.69688705102,2376481.0,452955.0,0.12814478987684821,1.1755301442893016,1955658.3333333333,2071265.0833333333,115606.75,5.911398122541856,Punt / Rowena,PUNT/ROWENA,-37.820299,144.989583,red,95.89512142703632,0.440592,"https://www.google.com/maps/search/?api=1&query=-37.820299,144.989583",95.98570828079025,85.597592433362,14.402407566638006,61.92739844425238,16.312056737588655,Metropolitan Backbone,#7b1fa2,86.57701735162563,45.263012348395364,74.85892803687419
270,2507,275566592,147,2014-01,2026-04,1874602.67,2253686,2025-08,2253686,0.051124,93754138316,17.39342,Top 10%,147,275566592.0,1874602.6666666667,1912696.0,238557.28802643012,2253686.0,375749.0,0.12725752089674652,1.2022206305762928,1793850.4166666667,1933934.8333333333,140084.4166666665,7.80914703729709,Phw / Geelong,PHW/GEELONG,-37.803978,144.882798,orange,94.2187835804857,0.40855,"https://www.google.com/maps/search/?api=1&query=-37.803978,144.882798",94.34636401849517,86.62940670679278,13.370593293207222,64.73638720829732,27.89598108747045,Metropolitan Backbone,#7b1fa2,86.49512932853001,47.15429378193132,74.73461158532193
71,2172,375339204,147,2014-01,2026-04,2553327.92,3050446,2024-10,3050446,0.069634,31448264081,5.834333,Top 5%,147,375339204.0,2553327.9183673467,2590507.0,302315.6671633442,3050446.0,505644.0,0.11840064293686625,1.1946941785489587,2455490.0833333335,2381778.6666666665,-73711.41666666698,-3.0019024376023364,Wrr / Pascoe Vale,WRR/PASCOE VALE,-37.694667,144.915258,red,98.49559424027508,0.556471,"https://www.google.com/maps/search/?api=1&query=-37.694667,144.915258",98.52879361076083,93.8950988822012,6.104901117798796,43.75540190146931,24.758220502901356,Metropolitan Backbone,#7b1fa2,86.41569158676262,38.68282775925774,72.78379244924629
