month,mean_site_volume,std_site_volume,active_sites,network_cv
2016-08-01,995848.3571042679,634329.5889180896,3702,0.6369740778230492
2016-09-01,946951.4168687685,609692.2825847965,3711,0.6438474791038721
2016-10-01,989177.8911875336,636053.0264043964,3722,0.6430117697442654
2016-11-01,988451.7487922705,635814.3700854668,3726,0.6432426983535918
2016-12-01,979405.0534228188,629780.0802875726,3725,0.6430231068204325
2017-01-01,905075.3956043957,597067.0781703744,3731,0.6596876691931969
2017-02-01,915746.6802775554,602076.1353372395,3747,0.6574701806778651
2017-03-01,1021367.1688936398,659291.5028422936,3742,0.6454990163394894
2017-04-01,907162.8232632419,624356.2060575412,3757,0.6882515354979054
2017-05-01,1000330.7888149135,654317.2663514751,3755,0.6541008970908926
2017-06-01,938007.6118177001,616598.1247509206,3774,0.6573487432112174
2017-07-01,924389.7104843002,614945.2054566178,3758,0.6652445375386532
2017-08-01,986990.30362338,650569.736148087,3781,0.659145012630574
2017-09-01,932888.1856240126,615888.7569962405,3798,0.6601956874223571
2017-10-01,992547.5348592476,651110.9423564238,3801,0.6559997576828976
2017-11-01,975102.1104422926,635280.4341997042,3821,0.6515014452297205
2017-12-01,960613.3838120104,629634.0052889352,3830,0.6554499613469397
2018-01-01,900333.4421519979,587351.814015684,3829,0.6523714287584187
2018-02-01,919622.572249804,592328.038133883,3827,0.6440990641245206
2018-03-01,991943.9315390645,632286.4079313976,3827,0.6374215193295902
2018-04-01,925145.7107049609,593923.8969217013,3830,0.6419787608042103
2018-05-01,986449.7936962751,642507.0196259688,3839,0.6513327122493117
2018-06-01,920474.5697221501,608503.797252825,3851,0.6610761636103699
2018-07-01,944493.1970481615,627026.7259378148,3862,0.6638763814260078
2018-08-01,985759.5650480394,647536.6194586174,3851,0.6568910334915804
2018-09-01,918470.1278195488,610904.4854932727,3857,0.6651326668005654
2018-10-01,986867.9925545572,652995.4079290492,3895,0.6616846557549586
2018-11-01,963523.9379984564,630207.2646410394,3887,0.6540649793820161
2019-01-01,886214.0295240519,597467.4733199028,3929,0.6741796602348727
2019-02-01,901061.5894039735,591770.7664369177,3926,0.6567484103149455
2019-03-01,980555.1582150102,651330.5848998191,3944,0.6642467580156254
2019-04-01,900540.710313448,605919.1222474038,3956,0.6728392345932964
2019-05-01,982631.0600252207,656111.701243693,3965,0.6677091005314374
2019-06-01,907747.1459854015,609810.901169416,3973,0.6717849831490664
2019-07-01,940695.1341853035,643648.8237300317,4069,0.6842268024352746
2019-08-01,991087.1187730061,662313.3016616714,4075,0.668269508417821
2019-09-01,930619.649251901,623299.9733532032,4077,0.6697687652031166
2019-10-01,1011065.5660701152,669377.1485020056,4079,0.6620511774560679
2019-11-01,972432.5879040157,641374.8765128171,4084,0.6595571605587988
2019-12-01,919991.3851978505,613018.3126254416,4094,0.6663304923160859
2020-01-01,907434.8532780892,610864.6860341739,4103,0.6731774560206037
2020-02-01,933743.573271665,618448.6516957792,4108,0.6623324319425828
2020-03-01,862516.0214111923,575804.0045068291,4110,0.6675864450201588
2020-04-01,540781.3695968917,384776.48782040476,4118,0.7115194965152446
2020-05-01,720535.9488732736,504075.2153611536,4127,0.6995837142468645
2020-06-01,772087.9017424976,528195.2136382648,4132,0.6841127965432432
2020-07-01,698167.0540671011,473665.38163681794,4143,0.6784413255789262
2020-08-01,489384.05744629493,331809.0801784868,4143,0.6780136686714597
2020-09-01,527811.779252111,355402.0648014809,4145,0.6733500061424775
2020-10-01,702086.6601778419,470312.98877024895,4161,0.6698788275668369
2020-11-01,868651.6152924257,586919.1957299935,4172,0.6756669594546383
2020-12-01,921655.0090822179,628507.0469576798,4184,0.6819330885897813
2021-01-01,848865.5353897656,578860.6365728063,4182,0.6819226513973338
2021-02-01,802065.1426178511,536792.6235698317,4179,0.6692631247105447
2021-03-01,960466.186618877,646797.3823917711,4185,0.6734202530009805
2021-04-01,897300.8882254597,607248.098013468,4187,0.6767496900781939
2021-05-01,904663.2628816793,606296.5137302029,4192,0.6701902670380684
2021-06-01,776969.6498332539,517981.3887706563,4198,0.6666687545412111
