sites,cpm,utilisation,traffic_volume,traffic_share_percent,revenue,cost,profit,roi_percent,break_even_cpm
100,12,0.25,41942570326,7.781253953563826,125827710.97799999,1200000.0,124627710.97799999,10385.6425815,0.11444219948114394
100,12,0.5,41942570326,7.781253953563826,251655421.95599997,1200000.0,250455421.95599997,20871.285163,0.05722109974057197
100,12,0.75,41942570326,7.781253953563826,377483132.934,1200000.0,376283132.934,31356.9277445,0.03814739982704798
100,12,1.0,41942570326,7.781253953563826,503310843.91199994,1200000.0,502110843.91199994,41842.570326,0.028610549870285985
100,16,0.25,41942570326,7.781253953563826,167770281.304,1200000.0,166570281.304,13880.856775333334,0.11444219948114394
100,16,0.5,41942570326,7.781253953563826,335540562.608,1200000.0,334340562.608,27861.713550666667,0.05722109974057197
100,16,0.75,41942570326,7.781253953563826,503310843.912,1200000.0,502110843.912,41842.570326,0.03814739982704798
100,16,1.0,41942570326,7.781253953563826,671081125.216,1200000.0,669881125.216,55823.427101333335,0.028610549870285985
250,2,0.25,88204450609,16.36383332467698,44102225.3045,3000000.0,41102225.3045,1370.0741768166667,0.13604755675192168
250,2,0.5,88204450609,16.36383332467698,88204450.609,3000000.0,85204450.609,2840.1483536333335,0.06802377837596084
250,2,0.75,88204450609,16.36383332467698,132306675.9135,3000000.0,129306675.9135,4310.22253045,0.04534918558397389
250,2,1.0,88204450609,16.36383332467698,176408901.218,3000000.0,173408901.218,5780.296707266667,0.03401188918798042
250,4,0.25,88204450609,16.36383332467698,88204450.609,3000000.0,85204450.609,2840.1483536333335,0.13604755675192168
250,4,0.5,88204450609,16.36383332467698,176408901.218,3000000.0,173408901.218,5780.296707266667,0.06802377837596084
250,4,0.75,88204450609,16.36383332467698,264613351.827,3000000.0,261613351.827,8720.4450609,0.04534918558397389
250,4,1.0,88204450609,16.36383332467698,352817802.436,3000000.0,349817802.436,11660.593414533334,0.03401188918798042
250,8,0.25,88204450609,16.36383332467698,176408901.218,3000000.0,173408901.218,5780.296707266667,0.13604755675192168
250,8,0.5,88204450609,16.36383332467698,352817802.436,3000000.0,349817802.436,11660.593414533334,0.06802377837596084
250,8,0.75,88204450609,16.36383332467698,529226703.654,3000000.0,526226703.654,17540.8901218,0.04534918558397389
250,8,1.0,88204450609,16.36383332467698,705635604.872,3000000.0,702635604.872,23421.186829066668,0.03401188918798042
250,12,0.25,88204450609,16.36383332467698,264613351.827,3000000.0,261613351.827,8720.4450609,0.13604755675192168
250,12,0.5,88204450609,16.36383332467698,529226703.654,3000000.0,526226703.654,17540.8901218,0.06802377837596084
250,12,0.75,88204450609,16.36383332467698,793840055.481,3000000.0,790840055.481,26361.335182699997,0.04534918558397389
250,12,1.0,88204450609,16.36383332467698,1058453407.308,3000000.0,1055453407.308,35181.7802436,0.03401188918798042
250,16,0.25,88204450609,16.36383332467698,352817802.436,3000000.0,349817802.436,11660.593414533334,0.13604755675192168
250,16,0.5,88204450609,16.36383332467698,705635604.872,3000000.0,702635604.872,23421.186829066668,0.06802377837596084
250,16,0.75,88204450609,16.36383332467698,1058453407.308,3000000.0,1055453407.308,35181.7802436,0.04534918558397389
250,16,1.0,88204450609,16.36383332467698,1411271209.744,3000000.0,1408271209.744,46942.373658133336,0.03401188918798042
500,2,0.25,150756015590,27.968501529960747,75378007.795,6000000.0,69378007.795,1156.3001299166667,0.15919762741190394
500,2,0.5,150756015590,27.968501529960747,150756015.59,6000000.0,144756015.59,2412.6002598333334,0.07959881370595197
500,2,0.75,150756015590,27.968501529960747,226134023.385,6000000.0,220134023.385,3668.90038975,0.05306587580396798
500,2,1.0,150756015590,27.968501529960747,301512031.18,6000000.0,295512031.18,4925.200519666667,0.039799406852975984
500,4,0.25,150756015590,27.968501529960747,150756015.59,6000000.0,144756015.59,2412.6002598333334,0.15919762741190394
500,4,0.5,150756015590,27.968501529960747,301512031.18,6000000.0,295512031.18,4925.200519666667,0.07959881370595197
500,4,0.75,150756015590,27.968501529960747,452268046.77,6000000.0,446268046.77,7437.8007795,0.05306587580396798
500,4,1.0,150756015590,27.968501529960747,603024062.36,6000000.0,597024062.36,9950.401039333334,0.039799406852975984
500,8,0.25,150756015590,27.968501529960747,301512031.18,6000000.0,295512031.18,4925.200519666667,0.15919762741190394
500,8,0.5,150756015590,27.968501529960747,603024062.36,6000000.0,597024062.36,9950.401039333334,0.07959881370595197
500,8,0.75,150756015590,27.968501529960747,904536093.54,6000000.0,898536093.54,14975.601559,0.05306587580396798
500,8,1.0,150756015590,27.968501529960747,1206048124.72,6000000.0,1200048124.72,20000.802078666668,0.039799406852975984
500,12,0.25,150756015590,27.968501529960747,452268046.77,6000000.0,446268046.77,7437.8007795,0.15919762741190394
500,12,0.5,150756015590,27.968501529960747,904536093.54,6000000.0,898536093.54,14975.601559,0.07959881370595197
500,12,0.75,150756015590,27.968501529960747,1356804140.31,6000000.0,1350804140.31,22513.402338499996,0.05306587580396798
500,12,1.0,150756015590,27.968501529960747,1809072187.08,6000000.0,1803072187.08,30051.203118,0.039799406852975984
500,16,0.25,150756015590,27.968501529960747,603024062.36,6000000.0,597024062.36,9950.401039333334,0.15919762741190394
500,16,0.5,150756015590,27.968501529960747,1206048124.72,6000000.0,1200048124.72,20000.802078666668,0.07959881370595197
500,16,0.75,150756015590,27.968501529960747,1809072187.08,6000000.0,1803072187.08,30051.203118,0.05306587580396798
500,16,1.0,150756015590,27.968501529960747,2412096249.44,6000000.0,2406096249.44,40101.604157333335,0.039799406852975984
1000,2,0.25,249481075712,46.28413546510688,124740537.856,12000000.0,112740537.856,939.5044821333335,0.19239936280943015
1000,2,0.5,249481075712,46.28413546510688,249481075.712,12000000.0,237481075.712,1979.008964266667,0.09619968140471508
1000,2,0.75,249481075712,46.28413546510688,374221613.568,12000000.0,362221613.568,3018.5134464000002,0.06413312093647672
1000,2,1.0,249481075712,46.28413546510688,498962151.424,12000000.0,486962151.424,4058.017928533334,0.04809984070235754
1000,4,0.25,249481075712,46.28413546510688,249481075.712,12000000.0,237481075.712,1979.008964266667,0.19239936280943015
1000,4,0.5,249481075712,46.28413546510688,498962151.424,12000000.0,486962151.424,4058.017928533334,0.09619968140471508
1000,4,0.75,249481075712,46.28413546510688,748443227.136,12000000.0,736443227.136,6137.0268928000005,0.06413312093647672
1000,4,1.0,249481075712,46.28413546510688,997924302.848,12000000.0,985924302.848,8216.035857066667,0.04809984070235754
1000,8,0.25,249481075712,46.28413546510688,498962151.424,12000000.0,486962151.424,4058.017928533334,0.19239936280943015
