count_date,rows,negative_rows
2016-11-01,6544992,127111
2016-11-02,6544416,147707
2016-11-03,6547392,125669
2016-11-04,6545472,122834
2016-11-05,6543552,126827
2016-11-06,6548256,127114
2016-11-07,6546240,130334
2016-11-08,6543936,129936
2016-11-09,6538080,131583
2016-11-10,6536160,130517
2016-11-11,6542784,136329
2016-11-12,6540768,145670
2016-11-13,6572544,137674
2016-11-14,6542784,138879
2016-11-15,6545088,138417
2016-11-16,6544512,137935
2016-11-17,6541920,140502
2016-11-18,6544992,136224
2016-11-19,6536448,127687
2016-11-20,6546336,128121
2016-11-21,6535776,133453
2016-11-22,6537696,129212
2016-11-23,6535584,124981
2016-11-24,6538464,125697
2016-11-25,6539136,131461
2016-11-26,6533856,130664
2016-11-27,6549888,139230
2016-11-28,6532896,134701
2016-11-29,6528576,134791
2016-11-30,6534624,130352
2016-12-01,6533472,128096
2016-12-02,6532704,125447
2016-12-03,6532992,135988
2016-12-04,6555936,133096
2016-12-05,6532704,128546
2016-12-06,6535008,123846
2016-12-07,6535776,127669
2016-12-08,6537312,129926
2016-12-09,6536544,130573
2016-12-10,6536832,127027
2016-12-11,6565824,124493
2016-12-12,6536832,132211
2016-12-13,6534816,133097
2016-12-14,6537312,318619
2016-12-15,6535680,139018
2016-12-16,6535008,126846
2016-12-17,6535968,129400
2016-12-18,6562656,130249
2016-12-19,6535776,133454
2016-12-20,6533088,134034
2016-12-21,6532608,126660
2016-12-22,6534912,121505
2016-12-23,6532608,122519
2016-12-24,6532896,124379
2016-12-25,6559392,127245
2016-12-26,6532608,130724
2016-12-27,6532608,132729
2016-12-28,6532608,137722
2016-12-29,6530304,143439
2016-12-30,6532608,144078
2016-12-31,6532896,140162
2017-01-01,6563136,139705
2017-01-02,6503808,144578
2017-01-03,6532608,142012
2017-01-04,6532608,138580
2017-01-05,6533472,136139
2017-01-06,6534240,137469
2017-01-07,6534528,141660
2017-01-08,6562944,138177
2017-01-09,6535200,136720
2017-01-10,6537504,140823
2017-01-11,6539808,140488
2017-01-12,6539808,135104
2017-01-13,6539808,132283
2017-01-14,6536448,131412
2017-01-15,6572064,131872
2017-01-16,6536736,134089
2017-01-17,6540384,141199
2017-01-18,6540384,137572
2017-01-19,6540576,135911
2017-01-20,6541728,148996
2017-01-21,6542016,138857
2017-01-22,6512928,142895
2017-01-23,6541728,142602
2017-01-24,6536544,141755
2017-01-25,6531744,138665
2017-01-26,6541728,138972
2017-01-27,6542304,137392
2017-01-28,6542400,141560
2017-01-29,6574944,141618
2017-01-30,6542304,144173
2017-01-31,6540768,141421
2017-02-01,6540000,138944
2017-02-02,6542304,142286
