count_date,scats_site,total_volume
2021-05-02,1359,118322
2021-05-02,2101,116119
2021-05-02,2404,128394
2021-05-02,2405,121394
2021-05-02,2438,81459
2021-05-02,2487,116595
2021-05-02,2816,102327
2021-05-02,2929,108847
2021-05-02,3060,101634
2021-05-02,3357,101424
2021-05-02,3380,163707
2021-05-02,3386,122012
2021-05-02,3516,94542
2021-05-02,3519,105159
2021-05-02,4415,152407
2021-05-03,414,113931
2021-05-03,415,114440
2021-05-03,416,117010
2021-05-03,849,150213
2021-05-03,855,129732
2021-05-03,1359,128154
2021-05-03,2101,117128
2021-05-03,2404,129303
2021-05-03,2405,120537
2021-05-03,2438,87931
2021-05-03,2487,122822
2021-05-03,2816,118931
2021-05-03,2929,85722
2021-05-03,3060,105705
2021-05-03,3357,120251
2021-05-03,3380,168857
2021-05-03,3386,121693
2021-05-03,3516,115813
2021-05-03,3519,121250
2021-05-03,4415,160340
2021-05-04,414,115263
2021-05-04,415,114472
2021-05-04,416,120614
2021-05-04,849,152601
2021-05-04,855,132502
2021-05-04,1359,124097
2021-05-04,2101,122440
2021-05-04,2404,132251
2021-05-04,2405,125824
2021-05-04,2438,88502
2021-05-04,2487,126799
2021-05-04,2816,120328
2021-05-04,2929,101053
2021-05-04,3060,110766
2021-05-04,3357,122447
2021-05-04,3380,174951
2021-05-04,3386,126434
2021-05-04,3516,117355
2021-05-04,3519,123641
2021-05-04,4415,165197
2021-05-05,414,116594
2021-05-05,415,117304
2021-05-05,416,120545
2021-05-05,849,166046
2021-05-05,855,136035
2021-05-05,1359,133649
2021-05-05,2101,123615
2021-05-05,2404,131590
2021-05-05,2405,123190
2021-05-05,2438,87129
2021-05-05,2487,125107
2021-05-05,2816,125744
2021-05-05,2929,94679
2021-05-05,3060,106999
2021-05-05,3357,126948
2021-05-05,3380,180784
2021-05-05,3386,130236
2021-05-05,3516,119853
2021-05-05,3519,128435
2021-05-05,4415,165958
2021-05-06,414,118624
2021-05-06,415,118758
2021-05-06,416,121688
2021-05-06,849,166368
2021-05-06,855,138012
2021-05-06,1359,141771
2021-05-06,2101,129653
2021-05-06,2404,137460
2021-05-06,2405,127351
2021-05-06,2438,94620
2021-05-06,2487,131860
2021-05-06,2816,129319
2021-05-06,2929,112822
2021-05-06,3060,112269
2021-05-06,3357,127966
2021-05-06,3380,187311
2021-05-06,3386,133617
2021-05-06,3516,122559
2021-05-06,3519,130778
2021-05-06,4415,168569
2021-05-07,414,121563
2021-05-07,415,122891
2021-05-07,416,125706
2021-05-07,849,162556
2021-05-07,855,140680
2021-05-07,1359,142077
2021-05-07,2101,135495
2021-05-07,2404,142601
2021-05-07,2405,133718
2021-05-07,2438,98837
2021-05-07,2487,134597
2021-05-07,2816,134546
2021-05-07,2929,116504
2021-05-07,3060,121317
2021-05-07,3357,134580
2021-05-07,3380,195752
2021-05-07,3386,140500
2021-05-07,3516,124774
2021-05-07,3519,135725
2021-05-07,4415,175691
2021-05-08,414,118824
2021-05-08,415,115276
2021-05-08,416,115471
2021-05-08,849,147718
2021-05-08,855,117782
2021-05-08,1359,125671
2021-05-08,2101,133103
2021-05-08,2404,136969
2021-05-08,2405,128963
2021-05-08,2438,95885
2021-05-08,2487,131382
2021-05-08,2816,123136
2021-05-08,2929,115181
2021-05-08,3060,116045
2021-05-08,3357,117909
2021-05-08,3380,192300
2021-05-08,3386,139299
2021-05-08,3516,110662
2021-05-08,3519,124389
2021-05-08,4415,168290
2021-05-09,414,105667
2021-05-09,415,105954
2021-05-09,416,107090
2021-05-09,849,140466
2021-05-09,855,101008
2021-05-09,1359,118338
2021-05-09,2101,118183
2021-05-09,2404,129102
2021-05-09,2405,118446
2021-05-09,2438,81159
2021-05-09,2487,117921
2021-05-09,2816,106519
2021-05-09,2929,94736
2021-05-09,3060,106175
2021-05-09,3357,105026
2021-05-09,3380,167186
2021-05-09,3386,124076
2021-05-09,3516,101274
2021-05-09,3519,112219
2021-05-09,4415,155509
2021-05-10,414,111152
2021-05-10,415,110675
2021-05-10,416,116249
2021-05-10,849,158084
2021-05-10,855,127736
2021-05-10,1359,121958
2021-05-10,2101,112336
2021-05-10,2404,130211
2021-05-10,2405,120514
2021-05-10,2438,86484
2021-05-10,2487,120733
2021-05-10,2816,119141
2021-05-10,2929,99769
2021-05-10,3060,108974
2021-05-10,3357,120883
2021-05-10,3380,168900
2021-05-10,3386,122227
2021-05-10,3516,113708
2021-05-10,3519,119264
2021-05-10,4415,153368
2021-05-11,414,113946
2021-05-11,415,114712
2021-05-11,416,118694
2021-05-11,849,161687
2021-05-11,855,134297
2021-05-11,1359,130131
2021-05-11,2101,121335
2021-05-11,2404,131044
2021-05-11,2405,123557
2021-05-11,2438,88514
2021-05-11,2487,126503
2021-05-11,2816,120591
2021-05-11,2929,101317
2021-05-11,3060,118141
2021-05-11,3357,120949
2021-05-11,3380,178170
2021-05-11,3386,126783
2021-05-11,3516,117888
2021-05-11,3519,120852
2021-05-11,4415,162351
2021-05-12,414,118844
2021-05-12,415,116165
2021-05-12,416,119671
2021-05-12,849,170968
2021-05-12,855,137347
2021-05-12,1359,140260
2021-05-12,2101,125418
2021-05-12,2404,133371
2021-05-12,2405,123802
2021-05-12,2438,90986
2021-05-12,2487,127308
2021-05-12,2816,126507
2021-05-12,2929,105395
2021-05-12,3060,109579
2021-05-12,3357,126290
2021-05-12,3380,182121
2021-05-12,3386,130307
2021-05-12,3516,119988
2021-05-12,3519,126664
2021-05-12,4415,164471
2021-05-13,414,117542
2021-05-13,415,117804
2021-05-13,416,121089
2021-05-13,849,172676
2021-05-13,855,136647
2021-05-13,1359,134297
2021-05-13,2101,125134
