count_date,total_volume
2015-07-18,106595293
2015-07-19,90553404
2015-07-20,113158841
2015-07-21,117443800
2015-07-22,119813401
2015-07-23,122658103
2015-07-24,121180539
2015-07-25,107427226
2015-07-26,88702466
2015-07-27,113909761
2015-07-28,118292523
2015-07-29,120638164
2015-07-30,121594939
2015-07-31,122591040
2015-08-01,105419546
2015-08-02,90191401
2015-08-03,112805898
2015-08-04,118136645
2015-08-05,119304174
2015-08-06,121406705
2015-08-07,125381422
2015-08-08,106655032
2015-08-09,90561059
2015-08-10,114005849
2015-08-11,118172920
2015-08-12,120191350
2015-08-13,122594815
2015-08-14,125673617
2015-08-15,106825926
2015-08-16,90769766
2015-08-17,112895230
2015-08-18,117967748
2015-08-19,120293531
2015-08-20,122764100
2015-08-21,125743730
2015-08-22,107789304
2015-08-23,91368279
2015-08-24,114090486
2015-08-25,117942558
2015-08-26,120387991
2015-08-27,120913257
2015-08-28,126269313
2015-08-29,106738296
2015-08-30,90372483
2015-08-31,113945505
2015-09-01,118771244
2015-09-02,119814864
2015-09-03,122837064
2015-09-04,127938111
2015-09-05,109163379
2015-09-06,91586887
2015-09-07,113683271
2015-09-08,117876212
2015-09-09,120109301
2015-09-10,122961570
2015-09-11,124087830
2015-09-12,107363051
2015-09-13,92963279
2015-09-14,113950760
2015-09-15,118068913
2015-09-16,120906624
2015-09-17,122830432
2015-09-18,126219194
2015-09-19,106579387
2015-09-20,92285556
2015-09-21,111722083
2015-09-22,115617108
2015-09-23,118140037
2015-09-24,120930314
2015-09-25,123959480
2015-09-26,105197797
2015-09-27,91803735
2015-09-28,112943592
2015-09-29,117365963
2015-10-01,127090983
2015-10-02,96726375
2015-10-03,90825945
2015-10-04,87764121
2015-10-05,116145957
2015-10-06,119454155
2015-10-07,123577421
2015-10-08,126282243
2015-10-09,129539567
2015-10-10,110253025
2015-10-11,92485386
2015-10-12,117118930
2015-10-13,121915075
2015-10-14,124496653
2015-10-15,126379388
2015-10-16,129702051
2015-10-17,111257903
2015-10-18,94621668
2015-10-19,118313541
2015-10-20,121956327
2015-10-21,122917412
2015-10-22,126642038
2015-10-23,130493517
2015-10-24,112051443
2015-10-25,94234599
2015-10-26,117919740
2015-10-27,122848994
2015-10-28,124808929
2015-10-29,128130261
2015-10-30,131058208
2015-10-31,102936066
2015-11-01,86775911
2015-11-02,106196815
2015-11-03,82373068
