rank,site_id,total_volume,months_present_x,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band,months_present_y,monthly_total,monthly_mean,monthly_median,monthly_std,monthly_max,monthly_min,monthly_cv,max_to_mean_ratio,first12_avg,last12_avg,growth_abs,growth_pct,friendly_name,site_name,latitude,longitude,traffic_band,percentile_rank,volume_ratio,google_maps_url,scale_score,stability_score,volatility_score,growth_score,spike_score,traffic_archetype,ooh_exposure_score,research_interest_score,strategic_importance_score
4746,1934,0,4,2021-10,2023-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,4,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4678,5859,0,4,2021-10,2023-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,4,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4677,5958,0,1,2023-10,2023-10,0.0,0,2023-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4676,-30138,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4752,-32210,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4736,23269,0,3,2022-02,2023-10,0.0,0,2022-02,0,0.0,539020710239,100.0,Bottom 50%,3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4749,1996,0,3,2020-10,2022-02,0.0,0,2020-10,0,0.0,539020710239,100.0,Bottom 50%,3,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4748,1876,0,2,2022-10,2023-10,0.0,0,2022-10,0,0.0,539020710239,100.0,Bottom 50%,2,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4655,1468,0,4,2021-10,2023-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,4,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4747,2039,0,1,2023-10,2023-10,0.0,0,2023-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4654,2767,0,1,2023-10,2023-10,0.0,0,2023-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4656,2470,0,5,2017-05,2023-10,0.0,0,2017-05,0,0.0,539020710239,100.0,Bottom 50%,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4751,-30294,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4750,-30281,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4753,32400,0,1,2023-10,2023-10,0.0,0,2023-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4720,10526,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4666,-30163,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4697,16302,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
4698,15935,0,1,2021-10,2021-10,0.0,0,2021-10,0,0.0,539020710239,100.0,Bottom 50%,1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,1.1139134089953762,100.0,0.0,0.0,0.0,Stable Low-Volume Local Site,25.61265237494746,0.22278268179907523,20.501261034047918
