scats_site,time_bin,avg_15m_volume
3376,15:00,57.2354906195168
3376,15:15,58.32144302090357
3376,15:30,58.959141706137174
3376,15:45,59.47711018149922
3376,16:00,61.62180277219699
3376,16:15,62.41693112761647
3376,16:30,62.32135806010699
3376,16:45,62.130332073434126
3376,17:00,61.989230431626744
3376,17:15,62.008656912873995
3376,17:30,60.95091414609487
3376,17:45,59.96551433389545
3376,18:00,59.34530191160109
3376,18:15,59.041699674695344
3376,18:30,56.39127870730762
3376,18:45,54.17829692556634
3376,19:00,51.46193946755744
3376,19:15,50.31082312443049
3376,19:30,48.24105547125274
3376,19:45,46.354467101823275
3376,20:00,44.70765285463625
3376,20:15,44.50208533846647
3376,20:30,43.32596517278618
3376,20:45,42.523628627868106
3376,21:00,42.9444773192216
3376,21:15,43.825439783491206
3376,21:30,43.140504531313404
3376,21:45,43.3476584953508
3376,22:00,43.17294161423449
3376,22:15,42.935367709213864
3376,22:30,40.734190474581425
3376,22:45,38.44712107380735
3376,23:00,36.8360724963262
3376,23:15,34.987445082798246
3376,23:30,31.67748957929021
3376,23:45,28.513904375739145
3380,00:00,25.288099948592524
3380,00:15,22.860557395488346
3380,00:30,20.22383798037166
3380,00:45,17.680506202855184
3380,01:00,15.91256515090041
3380,01:15,14.645071300553262
3380,01:30,13.475438186492172
3380,01:45,12.114998673512384
3380,02:00,11.494392902883204
3380,02:15,10.9071214205327
3380,02:30,10.134237415242321
3380,02:45,9.656892547038925
3380,03:00,9.340888542478567
3380,03:15,9.62788416627744
3380,03:30,9.183871569908531
3380,03:45,8.938517826560798
3380,04:00,9.041287831610413
3380,04:15,9.815799704533084
3380,04:30,10.552534146417349
3380,04:45,11.423723008422462
3380,05:00,13.568441035056873
3380,05:15,19.370077639751553
3380,05:30,27.000139647467726
3380,05:45,34.37783093603405
3380,06:00,43.44388926820185
3380,06:15,54.988465777667386
3380,06:30,57.81852927924429
3380,06:45,55.30482405033791
3380,07:00,55.974354993945795
3380,07:15,58.99022042843837
3380,07:30,60.68768740775266
3380,07:45,60.04861154446178
3380,08:00,58.55902518075293
3380,08:15,58.739527691875175
3380,08:30,60.86389932791717
3380,08:45,61.66251463357528
3380,09:00,61.54161393641122
3380,09:15,64.1024366608837
3380,09:30,64.8391990385966
3380,09:45,62.65823931997875
3380,10:00,62.22554585152839
3380,10:15,64.54417965455852
3380,10:30,66.3397276938193
3380,10:45,66.37450230306816
3380,11:00,66.43498681479863
3380,11:15,69.16024267821682
3380,11:30,70.75333790865984
3380,11:45,70.17263848738183
3380,12:00,71.05266941735434
3380,12:15,72.85510095808758
3380,12:30,73.22430081668983
3380,12:45,71.9380078289484
3380,13:00,71.60334611906322
3380,13:15,73.4078992540807
3380,13:30,74.0418532794432
3380,13:45,72.84150301289456
3380,14:00,73.85088923556943
3380,14:15,77.31031198276132
3380,14:30,80.08619531774664
3380,14:45,81.71208386633802
3380,15:00,84.09680690096245
3380,15:15,88.6291117907746
3380,15:30,91.1075007402559
3380,15:45,91.12432558864806
3380,16:00,92.61476955688212
3380,16:15,94.01912078664817
3380,16:30,94.3751849371603
3380,16:45,93.8325407343884
3380,17:00,94.80527841865685
3380,17:15,97.53908175041327
3380,17:30,96.50490715353938
3380,17:45,93.79810194636207
3380,18:00,90.36786660433225
3380,18:15,87.94024171539961
3380,18:30,82.3136277228957
3380,18:45,76.3126928230858
3380,19:00,68.56303385497849
3380,19:15,64.65107437243873
3380,19:30,59.5985527813733
3380,19:45,55.817612121778986
3380,20:00,52.3515477582846
3380,20:15,52.24821810128359
3380,20:30,50.59898366379848
3380,20:45,49.27996632734189
3380,21:00,49.71772947839791
3380,21:15,51.34540089921319
3380,21:30,49.767057868780824
3380,21:45,49.280904663794715
3380,22:00,48.53082100857397
3380,22:15,48.52722787734965
3380,22:30,45.371532436733546
3380,22:45,41.982290934645114
3380,23:00,39.225200025003126
3380,23:15,36.53984318870459
3380,23:30,32.07527939064744
3380,23:45,27.98423585288879
3381,00:00,21.815012462987436
3381,00:15,19.785152590014725
3381,00:30,17.477743963614476
3381,00:45,15.349997492016252
3381,01:00,13.963337293552652
3381,01:15,12.912290372152068
3381,01:30,11.86017501085468
