month_label,month_start,detector_day_rows,days_present,distinct_scats_sites,distinct_detectors,distinct_site_detector_pairs,total_volume_24hour_sum,avg_volume_24hour_per_detector_day,min_volume_24hour,max_volume_24hour,detector_day_rows_zscore,low_row_count_flag,high_row_count_flag
2018-08,2018-08-01,2177704,31,3955,32,70345,3796160085.0,1743.1937880446562,0,72828,-0.8955345105356946,False,False
2018-09,2018-09-01,2108726,30,3963,32,70400,3542539283.0,1679.9429053371562,0,72864,-1.007638753495348,False,False
2018-10,2018-10-01,2181999,31,3970,32,70462,3843850831.0,1761.6189700361915,0,72086,-0.8885542019806233,False,False
2018-11,2018-11-01,2117611,30,3978,32,70669,3745217547.0,1768.6050681640772,0,72488,-0.9931986972644261,False,False
2019-01,2019-01-01,2193681,31,4004,32,70865,3481934922.0,1587.2567260235194,0,72864,-0.8695684127977726,False,False
2019-02,2019-02-01,1983902,26,8026,64,141944,3537567800.0,1811.0397739879916,0,72864,-1.210504885061873,False,False
2019-03,2019-03-01,2203067,31,4030,32,71329,3867309544.0,1755.4207584245055,0,72864,-0.8543141226702058,False,False
2019-04,2019-04-01,2142655,28,8076,64,142933,3562539050.0,1755.2447154463416,0,72864,-0.9524967537363221,False,False
2019-05,2019-05-01,2218075,30,8091,64,143290,3896132153.0,1811.8000388486494,0,72864,-0.8299228605527411,False,False
2019-06,2019-06-01,2153165,30,4055,32,71932,3606479411.0,1674.9665775730145,0,72483,-0.9354157192977192,False,False
2019-07,2019-07-01,2503249,31,4142,32,99035,3827688501.0,1529.0881973786866,0,72359,-0.36645312553902415,False,False
2019-08,2019-08-01,3069232,31,4146,32,99064,4038680009.0,1315.8601268981947,0,71883,0.5533922707182384,False,False
2019-09,2019-09-01,2970479,30,4149,32,99114,3794136310.0,1277.2809738766036,0,72140,0.3928971809070719,False,False
2019-10,2019-10-01,3072494,30,8308,64,198265,4124136444.0,1373.377311657674,0,72864,0.5586937297419037,False,False
2019-11,2019-11-01,2976964,30,4164,32,99296,3971414689.0,1334.048610933824,0,71574,0.4034367154774182,False,False
2019-12,2019-12-01,2981584,30,4172,32,99430,3766444731.0,1263.2361627242433,0,71742,0.4109452196740258,False,False
2020-01,2020-01-01,3081654,31,4177,32,99491,3723205203.0,1208.184047592624,0,71449,0.5735807207464331,False,False
2020-02,2020-02-01,2886292,29,4186,32,99635,3835818599.0,1328.9780101943948,0,72864,0.2560750071408807,False,False
2020-03,2020-03-01,3088585,31,4194,32,99764,3544940848.0,1147.755638261534,0,72554,0.584845102258703,False,False
2020-04,2020-04-01,2895971,29,4204,32,99977,2226937680.0,768.9778937703451,0,72864,0.2718054859545095,False,False
2020-05,2020-05-01,3102692,31,4218,32,100237,2973651861.0,958.410264699171,0,72864,0.6077720435360933,False,False
2020-06,2020-06-01,2910459,29,4229,32,100449,3190267210.0,1096.1388598843,0,72864,0.29535163504551615,False,False
2020-07,2020-07-01,3112891,31,4240,32,100671,2892506105.0,929.2025017901366,0,72864,0.6243476353761801,False,False
2020-08,2020-08-01,3016858,30,4243,32,100674,2027518150.0,672.0628382244043,0,72864,0.46827313678033233,False,False
2020-09,2020-09-01,2918918,29,4247,32,100763,2187779825.0,749.5173982276995,0,72864,0.30909934868168576,False,False
2020-10,2020-10-01,3127490,31,4260,32,101045,2921382593.0,934.0981403617598,0,72864,0.6480741835939884,False,False
2020-11,2020-11-01,3031437,30,4267,32,101176,3624014539.0,1195.4774382578296,0,72864,0.4919671806509691,False,False
2020-12,2020-12-01,3147655,31,4295,32,101782,3802587138.0,1208.069860896445,-1,72864,0.6808466916296143,False,False
2021-01,2021-01-01,3135225,31,4272,32,101198,3549955669.0,1132.2809906784998,0,72864,0.6606452398625511,False,False
2021-02,2021-02-01,2831723,27,8546,64,202342,3351830231.0,1222.7135386605653,0,72864,0.1673885211009068,False,False
2021-03,2021-03-01,3135828,31,4279,32,101238,4019550991.0,1281.8148798339705,0,72864,0.6616252459297706,False,False
2021-04,2021-04-01,3049330,30,4309,32,101920,3694040376.0,1211.426895744311,-1,72864,0.5210471948479171,False,False
2021-05,2021-05-01,3155473,31,4313,32,101909,3716351062.0,1177.7476980471708,-1,72864,0.6935526409389385,False,False
2021-06,2021-06-01,3053117,30,4322,32,102096,3198625094.0,1047.6588660048076,-1,72864,0.5272018929848333,False,False
2021-07,2021-07-01,4090310,20,13011,96,307397,4226002786.0,1045.7868058042616,-1,72864,2.2128659607753125,False,True
2021-08,2021-08-01,3175938,31,4347,32,102830,2765447080.0,870.7497060710883,-1,71624,0.7268127141821364,False,False
2021-09,2021-09-01,3055471,30,4359,32,103189,2661591106.0,871.0902855893576,-1,59721,0.5310276546469144,False,False
2021-10,2021-10-01,3223276,31,4452,32,105286,3151983818.0,977.882073393653,-1,63724,0.8037472535022685,False,False
2021-11,2021-11-01,3112982,30,4413,32,104613,3800723534.0,1220.9269228026374,-1,61772,0.6244955301558103,False,False
2021-12,2021-12-01,3213974,31,4382,32,103988,3900049134.0,1213.4662987317258,-1,68938,0.7886294816328219,False,False
2022-01,2022-01-01,3217087,31,4385,32,104069,3342878973.0,1039.1012033557065,-1,69575,0.7936887832700598,False,False
2022-02,2022-02-01,2909926,28,4381,32,104084,3472421139.0,1193.302214214382,-1,63349,0.2944853941933967,False,False
2022-03,2022-03-01,3228328,31,4385,32,104240,3915851968.0,1212.9659588492866,-1,62162,0.8119578515977797,False,False
2022-04,2022-04-01,3131160,30,4394,32,104504,3553517716.0,1134.8885767574957,-1,64224,0.6540387312999515,False,False
2022-05,2022-05-01,3246752,30,8813,64,209716,3898631155.0,1112.254290863344,-1,68313,0.84190085621213,False,False
2022-06,2022-06-01,3150677,30,4420,32,105300,3730993139.0,1184.1877599639697,-1,72485,0.6857580984872221,False,False
2022-07,2022-07-01,3264046,31,4428,32,105558,3802371275.0,1164.9257623820251,-1,72864,0.8700073652112926,False,False
2022-08,2022-08-01,3272411,31,4428,32,105685,3949154624.0,1206.8027591888672,-1,72864,0.8836023084157564,False,False
2022-09,2022-09-01,3174219,30,4436,32,105978,3763343464.0,1185.596666140553,-1,72881,0.7240189655427494,False,False
2022-10,2022-10-01,3288254,31,4442,32,106186,3958216788.0,1203.7442326535602,-1,72858,0.9093506270276296,False,False
2022-11,2022-11-01,3189452,30,4457,32,106614,3923924790.0,1230.2818133020971,-1,72856,0.748775901565893,False,False
2022-12,2022-12-01,3211341,30,4475,32,107272,3826677227.0,1191.6134807857527,-1,72864,0.7843502843276989,False,False
2023-01,2023-01-01,3329100,31,4477,32,107434,3668502700.0,1101.9502868643176,-1,72864,0.9757342552559052,False,False
2023-02,2023-02-01,3012696,28,4488,32,107804,3731838807.0,1238.704073361534,-1,72860,0.4615089821339512,False,False
2023-03,2023-03-01,3344836,31,4500,32,108252,4130377657.0,1234.8520695782993,-1,72827,1.001308675610411,False,False
2023-04,2023-04-01,3245664,30,4499,32,108268,3669120237.0,1130.468291542193,-1,75837,0.8401326197260024,False,False
2023-05,2023-05-01,3365048,31,4516,32,108862,4069091848.0,1209.222527583559,-1,72849,1.03415756886189,False,False
2023-06,2023-06-01,3272572,30,4524,32,109230,3849945122.0,1176.4279355809438,-1,72840,0.8838639684104866,False,False
2023-07,2023-07-01,3284592,30,4537,32,109722,3836294146.0,1167.966720371967,-1,72562,0.9033990810605349,False,False
2023-08,2023-08-01,3406430,31,4546,32,110082,4085839848.0,1199.4492321873634,-1,72828,1.1014123135943608,False,False
2023-09,2023-09-01,3307102,30,4553,32,110352,3868107731.0,1169.636658016596,-1,66675,0.9399827238020148,False,False
2023-10,2023-10-01,3423674,31,4559,32,110619,4045952254.0,1181.7574494534235,-1,71268,1.1294375617255947,False,False
2023-11,2023-11-01,3318949,30,4570,32,110994,3863592299.0,1164.1011353292865,-1,64114,0.95923667384903,False,False
2023-12,2023-12-01,3407115,31,4574,32,111154,3948037331.0,1158.7625692117817,-1,67803,1.1025255874849833,False,False
2024-01,2024-01-01,3417295,31,4547,32,110539,3568754284.0,1044.3213957238108,-1,68669,1.119070300195257,False,False
2024-02,2024-02-01,3208861,29,4550,32,110717,3879229867.0,1208.9117811584858,-1,72864,0.7803197452784377,False,False
2024-03,2024-03-01,3434886,31,4555,32,110908,4106007343.0,1195.383876786595,-1,72864,1.147659498749916,False,False
2024-04,2024-04-01,3319271,30,4558,32,111046,3907697776.0,1177.275906667458,-1,75900,0.9597599938384905,False,False
2024-05,2024-05-01,3446613,31,4563,32,111335,4224129024.0,1225.58843246979,-1,72864,1.1667184227139025,False,False
2024-06,2024-06-01,3343666,30,4569,32,111567,3915499625.0,1171.0199598285235,-1,71668,0.9994071713008805,False,False
2024-07,2024-07-01,3461512,31,4573,32,111775,3953750942.0,1142.203448088581,-1,72651,1.1909325361392826,False,False
2024-08,2024-08-01,3477864,31,4588,32,112392,4212655490.0,1211.2766600419109,-1,72489,1.2175080903866695,False,False
2024-09,2024-09-01,3263831,29,4593,32,112630,3808462284.0,1166.8687147097996,-1,68398,0.8696579434791994,False,False
2024-10,2024-10-01,3495170,31,4598,32,112870,4199346736.0,1201.4713836522974,-1,66154,1.245634101994135,False,False
2024-11,2024-11-01,3388786,30,4601,32,113075,4170247218.0,1230.6021147396148,-1,67061,1.0727369785196976,False,False
2024-12,2024-12-01,3511773,31,4611,32,113395,4102727935.0,1168.2782272658285,-1,69244,1.2726175857985238,False,False
2025-01,2025-01-01,3518691,31,4617,32,113633,3890749635.0,1105.7377970955677,-1,72857,1.2838608394851323,False,False
2025-02,2025-02-01,3070715,27,4623,32,113865,3782391126.0,1231.7623504623516,-1,70883,0.5558024680610022,False,False
2025-03,2025-03-01,3532199,31,4627,32,114025,4310282401.0,1220.283002458242,-1,72297,1.3058142755647373,False,False
2025-04,2025-04-01,3426502,30,4632,32,114409,3968811033.0,1158.2689964867961,-1,72264,1.1340336764156396,False,False
2025-05,2025-05-01,3444526,31,4639,32,114830,4236761913.0,1229.998528970314,-1,72864,1.1633265940865605,False,False
2025-06,2025-06-01,3451680,30,4643,32,115217,3908656217.0,1132.3924051476383,-1,72864,1.1749533990697922,False,False
2025-07,2025-07-01,3574609,31,4649,32,115440,4224907798.0,1181.921658564615,-1,72864,1.3747397437418214,False,False
2025-08,2025-08-01,3581616,31,4656,32,115688,4188683940.0,1169.4955405604621,-1,72864,1.3861276417733428,False,False
2025-09,2025-09-01,3487588,30,4682,32,116563,3835613575.0,1099.7897615773422,-1,72864,1.233311703981434,False,False
2025-10,2025-10-01,3617434,31,4688,32,116830,4190584436.0,1158.4411591199728,-1,72864,1.444339677122713,False,False
2025-11,2025-11-01,3508308,30,4693,32,117038,4096313635.0,1167.6037665450126,-1,72864,1.266986207651068,False,False
2025-12,2025-12-01,3515484,30,4698,32,117264,4127324504.0,1174.0416124778267,-1,72864,1.2786487674161886,False,False
2026-01,2026-01-01,3637088,31,4702,32,117472,3980644037.0,1094.4590939234904,-1,72864,1.4762816990881082,False,False
2026-02,2026-02-01,3290426,28,4702,32,117605,3898173650.0,1184.7018136861307,-1,72864,0.9128805991304503,False,False
2026-03,2026-03-01,3648953,31,4706,32,117851,4221348017.0,1156.8655493781366,-1,72864,1.4955649030475777,False,False
2026-04,2026-04-01,824957,7,4706,32,117851,827964292.0,1003.6453924265144,-1,72864,-3.0940424166933407,True,False
