rank,site_id,total_volume,months_present_x,first_month,last_month,avg_monthly_volume,max_monthly_volume,best_month,best_month_volume,percent_of_network,cumulative_volume,cumulative_percent,percentile_band,months_present_y,monthly_total,monthly_mean,monthly_median,monthly_std,monthly_max,monthly_min,monthly_cv,max_to_mean_ratio,first12_avg,last12_avg,growth_abs,growth_pct,friendly_name,site_name,latitude,longitude,traffic_band,percentile_rank,volume_ratio,google_maps_url,scale_score,stability_score,volatility_score,growth_score,spike_score,traffic_archetype,archetype_colour,ooh_exposure_score,research_interest_score,strategic_importance_score
22,4035,478691176,147,2014-01,2026-04,3256402.56,5179024,2025-03,5179024,0.088808,11480367563,2.129856,Top 1%,147,478691176.0,3256402.5578231295,2500568.0,1196405.9959912489,5179024.0,1005699.0,0.3674011350706694,1.5904127048291359,2451433.6666666665,4621652.0,2170218.3333333335,88.52853588668728,Burke / Barkers / Mont Albert,BURKE/BARKERS/MONT ALBERT,-37.817373,145.059356,red,99.54867827208253,0.709699,"https://www.google.com/maps/search/?api=1&query=-37.817373,145.059356",99.55863808322825,11.478933791917456,88.52106620808254,92.11322385479689,83.64496024070492,High-Volume Volatile Corridor,#d32f2f,76.04962916471428,91.07481198201934,78.79797859800797
926,5235,180212073,147,2014-01,2026-04,1225932.47,2155332,2026-03,2155332,0.033433,236501046957,43.876059,Top 25%,147,180212073.0,1225932.469387755,1130911.0,599918.4466590198,2155332.0,0.0,0.48935684602482715,1.758116416539973,772798.5,1903131.6666666667,1130333.1666666667,146.2649276191228,Derrimut / Leakes,DERRIMUT/LEAKES,-37.83446,144.691056,orange,80.120352460778,0.267179,"https://www.google.com/maps/search/?api=1&query=-37.83446,144.691056",80.55905842791088,6.298366294067071,93.70163370593293,95.2247191011236,89.10380399742101,Rising Growth Corridor,#2e7d32,64.92701752909248,90.84036981260894,70.61143842748797
1208,287,155231154,147,2014-01,2026-04,1055994.24,2093939,2024-10,2093939,0.028799,283547050310,52.604111,Top 50%,147,155231154.0,1055994.2448979593,831531.0,594346.5685307307,2093939.0,0.0,0.5628312572746667,1.9829075869654358,758576.5,1838878.75,1080302.25,142.4117738949203,SPRINGVALE near BALMORAL,SPRINGVALE NR BALMORAL,-37.950436,145.152636,yellow,74.05974640017193,0.230143,"https://www.google.com/maps/search/?api=1&query=-37.950436,145.152636",74.63219840269021,4.836629406706794,95.16337059329321,95.11668107173725,92.77885235332045,Rising Growth Corridor,#2e7d32,61.280202687503774,90.6854515627099,67.84965696589337
945,5279,177259224,144,2014-01,2026-04,1230966.83,2245916,2025-10,2245916,0.032885,239892853605,44.505313,Top 25%,144,177259224.0,1230966.8333333333,1079449.5,549045.3467437375,2245916.0,14.0,0.44602773354744124,1.8245138205050475,807017.0833333334,1929358.4166666667,1122341.3333333335,139.07280979698388,Palmers / Leakes,PALMERS/LEAKES,-37.839437,144.747083,yellow,79.71201375456694,0.262801,"https://www.google.com/maps/search/?api=1&query=-37.839437,144.747083",80.15973097940311,7.545141874462602,92.4548581255374,95.00864304235091,90.43627767032022,Rising Growth Corridor,#2e7d32,64.97586611575755,90.45918110307201,70.45086464292471
362,2895,251959465,147,2014-01,2026-04,1714009.97,2679231,2025-10,2679231,0.046744,117949906856,21.882259,Top 10%,147,251959465.0,1714009.9659863946,1708013.0,632639.2279457435,2679231.0,525427.0,0.3690989203681008,1.5631361854177614,1050666.5833333333,2380179.5833333335,1329513.0000000002,126.53995292988209,Tullamarine Freeway / Bulla Wb Exit Ramp,TULLAMARINE FWY/BULLA WB EXIT RAMP,-37.734782,144.904227,orange,92.2415645819901,0.373551,"https://www.google.com/maps/search/?api=1&query=-37.734782,144.904227",92.41277847835225,11.392949269131558,88.60705073086844,94.44684528954191,82.44143563292499,High-Volume Volatile Corridor,#d32f2f,72.56463453828502,90.19529238327573,76.04476683662347
844,5249,187436651,147,2014-01,2026-04,1275079.26,2636822,2023-06,2636822,0.034774,221445361812,41.082904,Top 25%,147,187436651.0,1275079.2585034014,1031433.0,532877.760444318,2636822.0,351586.0,0.41791736230559695,2.0679671341332275,973135.6666666666,1834026.75,860891.0833333334,88.46567984525625,Werribee Main Road(Phw) / Synnot / Bridge,WERRIBEE MAIN RD(PHW)/SYNNOT/BRIDGE,-37.903107,144.660729,orange,81.88265635074146,0.27789,"https://www.google.com/maps/search/?api=1&query=-37.903107,144.660729",82.28247162673392,8.791917454858122,91.20808254514188,92.09161624891962,93.74597034171502,Rising Growth Corridor,#2e7d32,65.87166200820212,90.06870364207957,70.8850313545571
1387,3182,143719088,147,2014-01,2026-04,977680.87,2085464,2024-10,2085464,0.026663,310276898967,57.563076,Top 50%,147,143719088.0,977680.8707482993,741818.0,534905.492998482,2085464.0,12526.0,0.5471166604590258,2.133072316740557,666156.8333333334,1604399.6666666667,938242.8333333334,140.84413555266391,Clyde Road / Reserve Street,CLYDE RD/RESERVE ST,-38.03579,145.342933,yellow,70.2127659574468,0.213075,"https://www.google.com/maps/search/?api=1&query=-38.03579,145.342933",70.87011349306431,5.073086844368014,94.926913155632,95.05185825410545,94.2187835804857,Rising Growth Corridor,#2e7d32,59.25720578309847,90.04681731638854,66.15557706491843
1651,6630,127468072,145,2014-01,2026-04,879090.15,1490436,2024-12,1490436,0.023648,345985995955,64.187885,Top 50%,145,127468072.0,879090.151724138,1236312.0,602034.4993765736,1490436.0,999.0,0.6848381797882938,1.6954302093782354,16054.0,1278235.75,1262181.75,7862.101345459076,Princes Highway East near CONTINGENT,PHE NR CONTINGENT,-38.207552,146.155186,yellow,64.53900709219859,0.188982,"https://www.google.com/maps/search/?api=1&query=-38.207552,146.155186",65.32156368221942,3.181427343078247,96.81857265692176,99.15730337078652,87.27702557489792,Rising Growth Corridor,#2e7d32,56.55367753514755,89.78955801383714,64.38523569830996
1069,2968,167075450,147,2014-01,2026-04,1136567.69,1997122,2024-02,1997122,0.030996,261181562192,48.454829,Top 25%,147,167075450.0,1136567.6870748298,774621.0,511963.50088034075,1997122.0,193406.0,0.45044699642832087,1.7571518376877036,695155.5,1616510.5833333333,921355.0833333333,132.53942223478535,MILLERS between PRIMULA & CYPRESS,MILLERS BTW PRIMULA & CYPRESS,-37.82363,144.8486,yellow,77.04706640876854,0.247703,"https://www.google.com/maps/search/?api=1&query=-37.82363,144.8486",77.55359394703657,7.4591573516766925,92.5408426483233,94.68452895419188,89.0823124865678,Rising Growth Corridor,#2e7d32,63.45617179962767,89.6677192755632,69.20898093458867
1044,4363,168965124,147,2014-01,2026-04,1149422.61,2184699,2025-03,2184699,0.031347,256980523879,47.675445,Top 25%,147,168965124.0,1149422.612244898,913861.0,507331.48124399415,2184699.0,368259.0,0.4413794159253074,1.900692553570996,923220.0,1859776.9166666667,936556.9166666667,101.44460872453661,High / Burke,HIGH/BURKE,-37.859389,145.051325,yellow,77.58435418009886,0.250505,"https://www.google.com/maps/search/?api=1&query=-37.859389,145.051325",78.07902480033627,7.803095442820296,92.1969045571797,93.1503889369058,91.725768321513,Rising Growth Corridor,#2e7d32,63.52431528827119,89.58870348437884,69.1557937196735
